rank	word	freq	n_utts	n_speakers	len_chars	cleaned_form	has_non_devanagari	non_devanagari_chars
118	साथै	376	376	268	4	साथै	no	
119	ठाउँमा	375	375	259	6	ठाउँमा	no	
120	जनसङ्ख्या	371	371	261	9	जनसङ्ख्या	no	
121	अर्को	370	370	263	5	अर्को	no	
122	राजा	368	368	258	4	राजा	no	
123	जस्तै	365	365	249	5	जस्तै	no	
124	मन्दिर	362	354	264	6	मन्दिर	no	
125	गर्दछ	358	358	259	5	गर्दछ	no	
126	उनका	356	356	254	4	उनका	no	
127	विशेष	353	353	255	5	विशेष	no	
128	यसमा	351	351	251	4	यसमा	no	
129	समयमा	350	350	259	5	समयमा	no	
130	बारेमा	349	348	252	6	बारेमा	no	
131	समेत	348	348	253	4	समेत	no	
132	लामो	340	340	245	4	लामो	no	
133	ईपू	335	335	233	3	ईपू	no	
134	भाग	334	334	240	3	भाग	no	
135	भारतको	334	334	240	6	भारतको	no	
136	२	331	331	242	1	२	no	
137	रहेका	329	329	234	5	रहेका	no	
138	मानिन्छ	327	327	236	7	मानिन्छ	no	
139	त्यसपछि	326	326	239	7	त्यसपछि	no	
140	साथ	322	322	240	3	साथ	no	
141	सालमा	316	316	235	5	सालमा	no	
142	ती	312	312	236	2	ती	no	
143	सानो	309	306	218	4	सानो	no	
144	उक्त	305	305	213	4	उक्त	no	
145	जसको	305	305	228	4	जसको	no	
146	भाषा	305	300	227	4	भाषा	no	
147	दक्षिण	304	304	237	6	दक्षिण	no	
148	अञ्चलको	303	303	221	7	अञ्चलको	no	
149	तपाईँको	303	301	228	7	तपाईँको	no	
150	स्थापना	300	300	225	7	स्थापना	no	
151	प्रकाशित	299	299	228	8	प्रकाशित	no	
152	यसका	299	299	222	4	यसका	no	
153	सक्छ	298	298	230	4	सक्छ	no	
154	सुरु	298	298	231	4	सुरु	no	
155	प्रसिद्ध	294	294	219	8	प्रसिद्ध	no	
156	गर्छ	291	290	219	4	गर्छ	no	
157	जो	290	287	212	2	जो	no	
158	हजार	290	290	217	4	हजार	no	
159	सम्म	288	288	222	4	सम्म	no	
160	यसले	283	283	220	4	यसले	no	
161	लेख	283	279	220	3	लेख	no	
162	३	282	282	221	1	३	no	
163	पहिले	280	275	206	5	पहिले	no	
164	तपाईँ	277	277	212	5	तपाईँ	no	
165	धार्मिक	277	277	207	7	धार्मिक	no	
166	चलचित्र	274	272	216	7	चलचित्र	no	
167	जसमा	274	274	218	4	जसमा	no	
168	जस्तो	274	274	219	5	जस्तो	no	
169	पर्छ	274	274	212	4	पर्छ	no	
170	हामी	273	273	209	4	हामी	no	
171	त्यसको	272	271	212	6	त्यसको	no	
172	गाविस	271	270	200	5	गाविस	no	
173	भएर	270	270	211	3	भएर	no	
174	पूर्व	269	269	205	5	पूर्व	no	
175	वर्षको	269	269	211	6	वर्षको	no	
176	गर्यो	268	268	206	5	गर्यो	no	
177	महिला	267	267	207	5	महिला	no	
178	बेला	264	261	198	4	बेला	no	
179	सेवा	264	263	203	4	सेवा	no	
180	काठमाडौँ	263	263	201	8	काठमाडौँ	no	
181	का	262	262	202	2	का	no	
182	दोस्रो	261	261	203	6	दोस्रो	no	
183	यदि	260	260	200	3	यदि	no	
184	भनेर	259	259	206	4	भनेर	no	
185	परिवर्तन	258	258	208	8	परिवर्तन	no	
186	नदी	257	254	203	3	नदी	no	
187	छु	256	256	191	2	छु	no	
188	समिति	256	256	191	5	समिति	no	
189	हाल	255	255	202	3	हाल	no	
190	सम्पादन	254	254	196	7	सम्पादन	no	
191	अनि	253	253	201	3	अनि	no	
192	तपाईँले	253	253	195	7	तपाईँले	no	
193	पर्दछ	253	253	200	5	पर्दछ	no	
194	आर्थिक	252	252	207	6	आर्थिक	no	
195	गरियो	251	251	197	5	गरियो	no	
196	अध्ययन	250	250	195	6	अध्ययन	no	
197	त्यहाँ	249	249	198	6	त्यहाँ	no	
198	आफ्ना	248	245	192	5	आफ्ना	no	
199	गर्दछन्	248	248	195	7	गर्दछन्	no	
200	जस्ता	244	244	186	5	जस्ता	no	
201	तयार	244	244	186	4	तयार	no	
202	भारत	244	244	199	4	भारत	no	
203	रूपले	243	243	187	5	रूपले	no	
204	५	243	243	187	1	५	no	
205	जानकारी	242	242	195	7	जानकारी	no	
206	वटा	241	240	196	3	वटा	no	
207	अन्तर्राष्ट्रिय	240	240	196	15	अन्तर्राष्ट्रिय	no	
208	देखिन्छ	240	240	196	7	देखिन्छ	no	
209	त्यसैले	238	238	190	7	त्यसैले	no	
210	पटक	238	213	178	3	पटक	no	
211	स्थान	238	238	187	5	स्थान	no	
212	आएको	237	237	192	4	आएको	no	
213	अहिले	236	236	191	5	अहिले	no	
214	१०	236	236	177	2	१०	no	
215	प्रकारको	235	235	178	8	प्रकारको	no	
216	प्रत्येक	235	235	185	8	प्रत्येक	no	
217	हुनु	233	232	192	4	हुनु	no	
218	आधारमा	232	232	179	6	आधारमा	no	
219	चार	231	231	185	3	चार	no	
220	पाँच	231	231	180	4	पाँच	no	
221	यस्ता	231	231	185	5	यस्ता	no	
222	जसले	230	230	178	4	जसले	no	
223	४	230	230	193	1	४	no	
224	कम	229	225	181	2	कम	no	
225	जीवन	229	229	186	4	जीवन	no	
226	हाम्रो	229	229	186	6	हाम्रो	no	
227	पाइने	228	228	186	5	पाइने	no	
228	सहयोग	228	228	178	5	सहयोग	no	
229	हुँदै	228	228	182	5	हुँदै	no	
230	प्रदान	226	222	179	6	प्रदान	no	
231	अब	225	225	183	2	अब	no	
232	पुरानो	225	224	170	6	पुरानो	no	
233	सय	225	225	176	2	सय	no	
234	जब	222	221	184	2	जब	no	
235	क्षेत्रको	221	221	178	9	क्षेत्रको	no	
236	निकै	221	221	175	4	निकै	no	
237	लगभग	221	221	179	4	लगभग	no	
238	प्राचीन	220	220	184	7	प्राचीन	no	
239	होला	218	218	175	4	होला	no	
240	अथवा	217	217	177	4	अथवा	no	
241	थाहा	215	212	179	4	थाहा	no	
242	बनेको	215	215	175	5	बनेको	no	
243	स्थानमा	213	213	176	7	स्थानमा	no	
244	हुँदैन	213	211	174	6	हुँदैन	no	
245	पूर्वी	212	212	183	6	पूर्वी	no	
246	विज्ञान	212	205	169	7	विज्ञान	no	
247	सम्बन्धित	212	212	171	9	सम्बन्धित	no	
248	करिब	211	211	166	4	करिब	no	
249	पूजा	211	211	177	4	पूजा	no	
250	आवश्यक	210	208	173	6	आवश्यक	no	
251	अर्थ	209	208	171	4	अर्थ	no	
252	लिएर	209	209	172	4	लिएर	no	
253	शिक्षा	209	208	170	6	शिक्षा	no	
254	आज	208	208	170	2	आज	no	
255	उच्च	208	208	174	4	उच्च	no	
256	देश	204	204	162	3	देश	no	
257	पानी	204	204	168	4	पानी	no	
258	हुनुहुन्छ	203	203	168	9	हुनुहुन्छ	no	
259	आउने	202	197	155	4	आउने	no	
260	उत्तर	201	201	163	5	उत्तर	no	
261	अगाडि	200	200	157	5	अगाडि	no	
262	गरिने	200	200	163	5	गरिने	no	
263	यही	200	200	166	3	यही	no	
264	जसलाई	199	199	165	5	जसलाई	no	
265	अमेरिकी	197	197	155	7	अमेरिकी	no	
266	छोरा	195	195	160	4	छोरा	no	
267	पूर्ण	195	195	166	5	पूर्ण	no	
268	अधिकार	194	194	164	6	अधिकार	no	
269	ऐतिहासिक	194	194	161	8	ऐतिहासिक	no	
270	पत्रिका	194	185	153	7	पत्रिका	no	
271	व्यवस्था	194	194	159	8	व्यवस्था	no	
272	अनेक	193	193	163	4	अनेक	no	
273	उल्लेख	193	193	157	6	उल्लेख	no	
274	भनेको	193	193	163	5	भनेको	no	
275	सङ्ख्या	193	193	164	7	सङ्ख्या	no	
276	हुँदा	193	193	161	5	हुँदा	no	
277	एवं	192	192	155	3	एवं	no	
278	त्यही	192	192	159	5	त्यही	no	
279	प्रवेश	192	192	157	6	प्रवेश	no	
280	होइन	192	192	163	4	होइन	no	
281	अस्ट्रेलियाली	191	191	153	13	अस्ट्रेलियाली	no	
282	त्यसलाई	191	191	159	7	त्यसलाई	no	
283	पृष्ठमा	191	191	158	7	पृष्ठमा	no	
284	प्रथम	191	191	155	5	प्रथम	no	
285	६	191	190	164	1	६	no	
286	कुल	189	189	153	3	कुल	no	
287	नामक	188	188	153	4	नामक	no	
288	नेपालका	188	188	165	7	नेपालका	no	
289	स्थानीय	188	188	150	7	स्थानीय	no	
290	फेरि	187	187	157	4	फेरि	no	
291	प्रतिशत	186	184	153	7	प्रतिशत	no	
292	भएपछि	186	186	151	5	भएपछि	no	
293	श्री	186	180	148	4	श्री	no	
294	घर	185	185	155	2	घर	no	
295	भाषामा	185	185	152	6	भाषामा	no	
296	उहाँ	184	184	151	4	उहाँ	no	
297	केन्द्र	184	183	160	7	केन्द्र	no	
298	लेखिएको	184	184	151	7	लेखिएको	no	
299	सामान्य	184	184	151	7	सामान्य	no	
300	गते	183	183	149	3	गते	no	
301	प्रकाशन	183	179	144	7	प्रकाशन	no	
302	विश्वास	181	181	151	7	विश्वास	no	
303	गर्छन्	180	180	151	6	गर्छन्	no	
304	क्याम्पस	179	165	138	8	क्याम्पस	no	
305	यसरी	179	179	153	4	यसरी	no	
306	पहाडी	178	178	148	5	पहाडी	no	
307	विश्वविद्यालय	178	171	144	13	विश्वविद्यालय	no	
308	स्थापित	178	178	147	7	स्थापित	no	
309	उहाँले	177	177	151	6	उहाँले	no	
310	देशको	177	177	141	5	देशको	no	
311	माथि	177	177	148	4	माथि	no	
312	भारतमा	176	176	147	6	भारतमा	no	
313	योगदान	176	176	149	6	योगदान	no	
314	भागमा	175	175	146	5	भागमा	no	
315	यसै	175	175	154	3	यसै	no	
316	जारी	174	173	141	4	जारी	no	
317	पुरस्कार	174	174	140	8	पुरस्कार	no	
318	पृष्ठ	174	174	145	5	पृष्ठ	no	
319	राजधानी	174	174	143	7	राजधानी	no	
320	सो	174	174	143	2	सो	no	
321	अवस्थामा	173	173	151	8	अवस्थामा	no	
322	गाविसको	173	173	156	7	गाविसको	no	
323	आफ्नै	172	172	152	5	आफ्नै	no	
324	भूमिका	172	172	151	6	भूमिका	no	
325	तपाईँलाई	171	171	147	8	तपाईँलाई	no	
326	सम्पूर्ण	171	171	144	8	सम्पूर्ण	no	
327	संयुक्त	170	170	142	7	संयुक्त	no	
328	सम्बन्ध	170	170	145	7	सम्बन्ध	no	
329	बाहिर	169	169	146	5	बाहिर	no	
330	जहाँ	168	165	142	4	जहाँ	no	
331	प्रकार	167	167	145	6	प्रकार	no	
332	बनाउन	167	167	137	5	बनाउन	no	
333	भाषाको	167	167	148	6	भाषाको	no	
334	१२	167	167	142	2	१२	no	
335	थुप्रै	166	166	142	6	थुप्रै	no	
336	या	164	161	140	2	या	no	
337	स्थित	164	164	137	5	स्थित	no	
338	अङ्ग्रेजी	163	163	134	9	अङ्ग्रेजी	no	
339	७	163	163	137	1	७	no	
340	धर्म	162	162	136	4	धर्म	no	
341	निर्वाचन	162	162	137	8	निर्वाचन	no	
342	बसोबास	162	162	132	6	बसोबास	no	
343	सफल	162	162	138	3	सफल	no	
344	राजनैतिक	161	161	135	8	राजनैतिक	no	
345	लाख	161	161	136	3	लाख	no	
346	अन्तिम	160	160	135	6	अन्तिम	no	
347	क्रममा	160	160	134	6	क्रममा	no	
348	माछा	160	160	140	4	माछा	no	
349	मूल	160	160	143	3	मूल	no	
350	राज्यको	160	160	137	7	राज्यको	no	
351	सहर	160	160	140	3	सहर	no	
352	अधिक	159	158	133	4	अधिक	no	
353	दिने	159	159	132	4	दिने	no	
354	यहाँको	159	159	135	6	यहाँको	no	
355	हरेक	158	156	141	4	हरेक	no	
356	अञ्चल	157	157	134	5	अञ्चल	no	
357	आधुनिक	156	155	134	6	आधुनिक	no	
358	उपलब्ध	156	156	135	6	उपलब्ध	no	
359	शब्द	156	156	133	4	शब्द	no	
360	अन्तर्गत	155	154	131	8	अन्तर्गत	no	
361	थिएन	155	155	137	4	थिएन	no	
362	दिएको	155	155	131	5	दिएको	no	
363	मानव	155	154	132	4	मानव	no	
364	सञ्चालन	155	155	138	7	सञ्चालन	no	
365	केवल	154	154	136	4	केवल	no	
366	दिए	154	153	135	3	दिए	no	
367	महत्त्वपूर्ण	154	154	127	12	महत्त्वपूर्ण	no	
368	प्रकारका	153	153	131	8	प्रकारका	no	
369	विचार	152	152	132	5	विचार	no	
370	साल	152	152	124	3	साल	no	
371	जति	151	151	130	3	जति	no	
372	जान्छ	151	151	132	5	जान्छ	no	
373	भारतका	151	151	135	6	भारतका	no	
374	मिटर	151	151	133	4	मिटर	no	
375	विवाह	151	151	134	5	विवाह	no	
376	परम्परा	150	150	131	7	परम्परा	no	
377	कलेज	149	146	129	4	कलेज	no	
378	प्रस्तुत	149	149	127	8	प्रस्तुत	no	
379	२०	149	149	128	2	२०	no	
380	घोषणा	148	148	124	5	घोषणा	no	
381	छोरी	148	148	129	4	छोरी	no	
382	ज्ञान	148	148	129	5	ज्ञान	no	
383	प्रति	148	148	126	5	प्रति	no	
384	मानिसहरू	148	148	131	8	मानिसहरू	no	
385	अर्थात्	147	147	126	7	अर्थात्	no	
386	महिना	146	145	127	5	महिना	no	
387	व्यक्ति	146	146	130	7	व्यक्ति	no	
388	बनाउने	145	145	126	6	बनाउने	no	
389	विषयमा	145	145	126	6	विषयमा	no	
390	अफ	144	144	127	2	अफ	no	
391	ईसा	144	144	125	3	ईसा	no	
392	मध्य	144	144	118	4	मध्य	no	
393	राजनीतिक	144	144	122	8	राजनीतिक	no	
394	सदरमुकाम	144	144	116	8	सदरमुकाम	no	
395	अघि	143	143	124	3	अघि	no	
396	उसको	143	143	131	4	उसको	no	
397	एउटै	143	143	122	4	एउटै	no	
398	गएको	143	143	130	4	गएको	no	
399	घरमा	143	141	119	4	घरमा	no	
400	त्यसमा	143	143	123	6	त्यसमा	no	
401	तत्कालीन	142	142	128	8	तत्कालीन	no	
402	थाले	142	142	125	4	थाले	no	
403	नगर	142	142	121	3	नगर	no	
404	नदीको	142	139	118	5	नदीको	no	
405	सरकारले	142	142	116	7	सरकारले	no	
406	गीत	141	141	128	3	गीत	no	
407	तिनको	141	141	119	5	तिनको	no	
408	रोग	141	141	124	3	रोग	no	
409	लाग्छ	141	141	116	5	लाग्छ	no	
410	उहाँको	140	140	123	6	उहाँको	no	
411	किनभने	140	140	125	6	किनभने	no	
412	परेको	140	140	121	5	परेको	no	
413	भएकाले	140	140	119	6	भएकाले	no	
414	पश्चिम	139	139	122	6	पश्चिम	no	
415	लाग्ने	139	139	131	6	लाग्ने	no	
416	सार्वजनिक	139	139	120	9	सार्वजनिक	no	
417	अस्पताल	138	137	120	7	अस्पताल	no	
418	जाने	138	138	125	4	जाने	no	
419	मन	138	138	126	2	मन	no	
420	कथा	137	137	123	3	कथा	no	
421	गर्नुभएको	137	137	117	9	गर्नुभएको	no	
422	प्रकाश	137	137	113	6	प्रकाश	no	
423	१५	137	137	115	2	१५	no	
424	अलग	136	117	105	3	अलग	no	
425	धन्यवाद	136	136	121	7	धन्यवाद	no	
426	२००७	136	136	124	4	२००७	no	
427	अधिकांश	135	135	117	7	अधिकांश	no	
428	केन्द्रीय	135	135	112	9	केन्द्रीय	no	
429	खेल	135	135	114	3	खेल	no	
430	प्रधानमन्त्री	135	135	116	13	प्रधानमन्त्री	no	
431	प्रभाव	135	135	114	6	प्रभाव	no	
432	प्राकृतिक	135	135	124	9	प्राकृतिक	no	
433	वैज्ञानिक	135	135	120	9	वैज्ञानिक	no	
434	सक्ने	135	135	114	5	सक्ने	no	
435	११	135	135	115	2	११	no	
436	इतिहास	134	134	117	6	इतिहास	no	
437	पुरुष	134	134	115	5	पुरुष	no	
438	स्वतन्त्र	134	134	119	9	स्वतन्त्र	no	
439	कारणले	133	133	122	6	कारणले	no	
440	ग्रह	133	133	120	4	ग्रह	no	
441	चलन	133	133	112	3	चलन	no	
442	ठाउँ	133	133	116	4	ठाउँ	no	
443	बनाइएको	133	133	110	7	बनाइएको	no	
444	मध्ये	133	133	113	5	मध्ये	no	
445	कर्णाली	132	130	105	7	कर्णाली	no	
446	कृषि	132	132	119	4	कृषि	no	
447	थिइन्	131	131	111	5	थिइन्	no	
448	मानिस	131	131	112	5	मानिस	no	
449	हुनेछ	131	131	121	5	हुनेछ	no	
450	गाविसमा	130	130	118	7	गाविसमा	no	
451	बनाएको	130	130	116	6	बनाएको	no	
452	ध्यान	129	129	116	5	ध्यान	no	
453	परिवार	129	129	111	6	परिवार	no	
454	लागेको	129	129	119	6	लागेको	no	
455	तेस्रो	128	128	114	6	तेस्रो	no	
456	मान्यता	128	128	111	7	मान्यता	no	
457	रहन्छ	128	128	114	5	रहन्छ	no	
458	रूप	128	128	114	3	रूप	no	
459	हुनाले	128	128	119	6	हुनाले	no	
460	आफूलाई	127	127	116	6	आफूलाई	no	
461	फल	127	127	110	2	फल	no	
462	विद्यालय	127	127	108	8	विद्यालय	no	
463	२०१०	127	127	111	4	२०१०	no	
464	अरू	126	126	113	3	अरू	no	
465	उत्पन्न	126	126	110	7	उत्पन्न	no	
466	बनाएर	126	126	106	5	बनाएर	no	
467	कसरी	125	121	108	4	कसरी	no	
468	त्यस्तै	125	125	110	7	त्यस्तै	no	
469	समस्या	125	124	113	6	समस्या	no	
470	सुझाव	125	125	110	5	सुझाव	no	
471	अति	124	124	106	3	अति	no	
472	बाटो	124	124	109	4	बाटो	no	
473	सरकारी	124	116	104	6	सरकारी	no	
474	उत्तरी	123	123	109	6	उत्तरी	no	
475	मृत्यु	123	123	111	6	मृत्यु	no	
476	कालो	122	122	111	4	कालो	no	
477	दिल्ली	122	122	115	6	दिल्ली	no	
478	नेता	122	122	112	4	नेता	no	
479	पुस्तक	121	121	107	6	पुस्तक	no	
480	प्रभावित	121	120	105	8	प्रभावित	no	
481	सन्देश	121	121	107	6	सन्देश	no	
482	३०	121	120	109	2	३०	no	
483	८	121	121	104	1	८	no	
484	जना	120	120	108	3	जना	no	
485	द	120	120	113	1	द	no	
486	साना	120	111	97	4	साना	no	
487	९	120	120	109	1	९	no	
488	उत्पादन	119	118	105	7	उत्पादन	no	
489	राजनीतिमा	119	119	102	9	राजनीतिमा	no	
490	गर्नका	118	118	103	6	गर्नका	no	
491	सात	118	118	111	3	सात	no	
492	१४	118	118	106	2	१४	no	
493	आएका	117	117	100	4	आएका	no	
494	न	117	115	105	1	न	no	
495	मन्दिरको	116	116	102	8	मन्दिरको	no	
496	मात्रामा	116	116	104	8	मात्रामा	no	
497	योजना	116	116	99	5	योजना	no	
498	राई	116	116	103	3	राई	no	
499	लगायत	116	116	105	5	लगायत	no	
500	उपत्यका	115	115	100	7	उपत्यका	no	
501	कला	115	115	102	3	कला	no	
502	गरेपछि	115	115	110	6	गरेपछि	no	
503	पश्चिममा	115	115	97	8	पश्चिममा	no	
504	सांस्कृतिक	115	114	102	10	सांस्कृतिक	no	
505	सामेल	115	115	104	5	सामेल	no	
506	रचना	114	114	102	4	रचना	no	
507	लेखहरू	114	114	101	6	लेखहरू	no	
508	जातिको	113	112	107	6	जातिको	no	
509	जेल	113	113	98	3	जेल	no	
510	देशमा	113	112	103	5	देशमा	no	
511	भित्र	113	113	102	5	भित्र	no	
512	शक्ति	113	113	98	5	शक्ति	no	
513	२५	113	113	102	2	२५	no	
514	कार्यालय	112	112	105	8	कार्यालय	no	
515	कृपया	112	112	99	5	कृपया	no	
516	राखिएको	112	112	92	7	राखिएको	no	
517	संविधान	112	112	100	7	संविधान	no	
518	उपयोग	111	111	100	5	उपयोग	no	
519	चर्चित	111	111	103	6	चर्चित	no	
520	प्रयास	111	111	101	6	प्रयास	no	
521	सालको	111	111	96	5	सालको	no	
522	सुन्दर	111	110	101	6	सुन्दर	no	
523	त्यसै	110	110	101	5	त्यसै	no	
524	दक्षिणमा	110	110	99	8	दक्षिणमा	no	
525	निर्णय	110	110	98	6	निर्णय	no	
526	पूर्वमा	110	110	100	7	पूर्वमा	no	
527	फरक	110	92	86	3	फरक	no	
528	युद्ध	110	110	100	5	युद्ध	no	
529	लेखक	110	110	105	4	लेखक	no	
530	१८	110	110	103	2	१८	no	
531	एवम्	109	109	100	4	एवम्	no	
532	खेलाडी	109	109	101	6	खेलाडी	no	
533	समर्थन	109	109	97	6	समर्थन	no	
534	उसले	108	108	95	4	उसले	no	
535	टाढा	108	108	97	4	टाढा	no	
536	मिलेर	108	108	95	5	मिलेर	no	
537	रहे	108	108	97	3	रहे	no	
538	लिन	108	108	96	3	लिन	no	
539	वनस्पति	108	108	94	7	वनस्पति	no	
540	विद्यार्थी	108	108	101	10	विद्यार्थी	no	
541	सन्तान	108	108	96	6	सन्तान	no	
542	अवस्था	107	107	97	6	अवस्था	no	
543	पत्रिकाको	107	107	94	9	पत्रिकाको	no	
544	प्रचलित	107	107	94	7	प्रचलित	no	
545	यहाँका	107	107	92	6	यहाँका	no	
546	स्थल	107	107	94	4	स्थल	no	
547	अनुमान	106	106	96	6	अनुमान	no	
548	पोखरा	106	105	92	5	पोखरा	no	
549	प्रयोगकर्ता	106	106	100	11	प्रयोगकर्ता	no	
550	यात्रा	106	106	96	6	यात्रा	no	
551	यिनको	106	106	92	5	यिनको	no	
552	रह्यो	106	106	96	5	रह्यो	no	
553	सम्पन्न	106	106	96	7	सम्पन्न	no	
554	हामीले	106	106	89	6	हामीले	no	
555	आकार	105	104	94	4	आकार	no	
556	आधार	105	105	97	4	आधार	no	
557	कायम	105	105	99	4	कायम	no	
558	पानीमा	105	105	92	6	पानीमा	no	
559	यति	105	105	88	3	यति	no	
560	यिनी	105	105	91	4	यिनी	no	
561	सरकारको	105	105	98	7	सरकारको	no	
562	स्वास्थ्य	105	105	94	9	स्वास्थ्य	no	
563	आधारित	104	104	91	6	आधारित	no	
564	एकै	104	104	92	3	एकै	no	
565	कविता	104	104	88	5	कविता	no	
566	गर्नुहोला	104	104	92	9	गर्नुहोला	no	
567	दिनमा	104	104	93	5	दिनमा	no	
568	लगायतका	104	104	91	7	लगायतका	no	
569	विशाल	104	104	94	5	विशाल	no	
570	हात	104	104	93	3	हात	no	
571	अग्लो	103	102	91	5	अग्लो	no	
572	अनुरोध	103	103	92	6	अनुरोध	no	
