word	source	ipa	segments	n_segments	freq	n_utts	n_speakers
यी	slr54	jiː	j iː	2	539	539	328
को	slr54	koː	k oː	2	538	537	303
भएका	slr54	bʰəeːkaː	bʰ ə eː k aː	5	536	536	328
हुन	slr54	hunə	h u n ə	4	534	533	336
नेपालमा	slr54	neːpaːləmaː	n eː p aː l ə m aː	8	530	530	319
प्राप्त	slr54	pɾaːptə	p ɾ aː p t ə	6	528	528	321
छैन	slr54	cʰɛːnə	cʰ ɛː n ə	4	526	526	329
अवस्थित	slr54	əwʌstʰɪt	ə w ʌ s tʰ ɪ t	7	511	511	311
पछि	slr54	pʌcʰɪ	p ʌ cʰ ɪ	4	509	508	324
गरेर	slr54	ɡəɾeːɾə	ɡ ə ɾ eː ɾ ə	6	508	505	319
गर्दा	slr54	ɡʌrrdaː	ɡ ʌ r r d aː	6	504	499	323
मलाई	slr54	məlaːi	m ə l aː i	5	504	504	317
कुरा	slr54	kuɾaː	k u ɾ aː	4	502	502	322
क्षेत्र	slr54	kʂeːtɾə	k ʂ eː t ɾ ə	6	500	498	312
क्षेत्रमा	slr54	kʂeːtɾəmaː	k ʂ eː t ɾ ə m aː	8	499	499	315
म	slr54	mə	m ə	2	490	490	316
उनलाई	slr54	ʊnəlaːi	ʊ n ə l aː i	6	475	475	308
आदि	slr54	aːdɪ	aː d ɪ	3	473	473	310
सबैभन्दा	slr54	səbɛːbʰʌndaː	s ə b ɛː bʰ ʌ n d aː	9	468	468	299
कार्य	slr54	kaːrrjə	k aː r r j ə	6	460	460	303
पर्ने	slr54	pʌrrneː	p ʌ r r n eː	6	460	460	299
हुन्छन्	slr54	huncʰən	h u n cʰ ə n	6	460	456	297
भारतीय	slr54	bʰaːɾətɪːjə	bʰ aː ɾ ə t ɪː j ə	8	455	455	289
गर्दै	slr54	ɡʌrrdɛː	ɡ ʌ r r d ɛː	6	428	428	293
पाइन्छ	slr54	paːɪncʰə	p aː ɪ n cʰ ə	6	423	423	291
समय	slr54	sʌməjə	s ʌ m ə j ə	6	422	422	295
राम्रो	slr54	ɾaːmɾoː	ɾ aː m ɾ oː	5	417	417	279
बढी	slr54	bʌɖʰi	b ʌ ɖʰ i	4	409	409	283
गाउँ	slr54	ɡaːũ	ɡ aː ũ	3	405	401	268
राज्य	slr54	ɾaːɟjə	ɾ aː ɟ j ə	5	405	402	275
जन्म	slr54	ɟʌnmə	ɟ ʌ n m ə	5	400	400	262
राष्ट्रिय	slr54	ɾaːʃʈɾɪːjə	ɾ aː ʃ ʈ ɾ ɪː j ə	8	397	397	276
देखि	slr54	deːkʰɪ	d eː kʰ ɪ	4	394	394	275
के	slr54	keː	k eː	2	391	382	267
निर्माण	slr54	nɪrrmaːɳ	n ɪ r r m aː ɳ	7	389	389	269
सकिन्छ	slr54	səkɪncʰə	s ə k ɪ n cʰ ə	7	386	386	273
यस्तो	slr54	jʌstoː	j ʌ s t oː	5	385	385	270
त्यस	slr54	tːjʌs	tː j ʌ s	4	380	380	258
१	slr54	eːk	eː k	2	380	372	264
गर्नु	slr54	ɡʌrrnuʲu	ɡ ʌ r r n u u	7	379	379	254
भन्दा	slr54	bʰʌndaː	bʰ ʌ n d aː	5	379	378	272
साथै	slr54	saːtʰɛː	s aː tʰ ɛː	4	376	376	268
ठाउँमा	slr54	ʈʰaːũmaː	ʈʰ aː ũ m aː	5	375	375	259
जनसङ्ख्या	slr54	ɟənəsʌŋkʰjaː	ɟ ə n ə s ʌ ŋ kʰ j aː	10	371	371	261
अर्को	slr54	ʌrrkoː	ʌ r r k oː	5	370	370	263
राजा	slr54	ɾaːɟaː	ɾ aː ɟ aː	4	368	368	258
जस्तै	slr54	ɟʌstɛː	ɟ ʌ s t ɛː	5	365	365	249
मन्दिर	slr54	mʌndɪɾə	m ʌ n d ɪ ɾ ə	7	362	354	264
गर्दछ	slr54	ɡʌrrdəcʰə	ɡ ʌ r r d ə cʰ ə	8	358	358	259
उनका	slr54	ʊnəkaː	ʊ n ə k aː	5	356	356	254
विशेष	slr54	wɪʃeːʂ	w ɪ ʃ eː ʂ	5	353	353	255
यसमा	slr54	jʌsəmaː	j ʌ s ə m aː	6	351	351	251
समयमा	slr54	sʌməjəmaː	s ʌ m ə j ə m aː	8	350	350	259
बारेमा	slr54	baːɾeːmaː	b aː ɾ eː m aː	6	349	348	252
समेत	slr54	səmeːt	s ə m eː t	5	348	348	253
लामो	slr54	laːmoː	l aː m oː	4	340	340	245
ईपू	slr54	ɪːpuː	ɪː p uː	3	335	335	233
भाग	slr54	bʰaːɡ	bʰ aː ɡ	3	334	334	240
भारतको	slr54	bʰaːɾətəkoː	bʰ aː ɾ ə t ə k oː	8	334	334	240
२	slr54	duːiː	d uː iː	3	331	331	242
रहेका	slr54	ɾəheːkaː	ɾ ə h eː k aː	6	329	329	234
मानिन्छ	slr54	maːnɪncʰə	m aː n ɪ n cʰ ə	7	327	327	236
त्यसपछि	slr54	tːjʌsəpəcʰɪ	tː j ʌ s ə p ə cʰ ɪ	9	326	326	239
साथ	slr54	saːtʰ	s aː tʰ	3	322	322	240
सालमा	slr54	saːləmaː	s aː l ə m aː	6	316	316	235
ती	slr54	tiː	t iː	2	312	312	236
सानो	slr54	saːnoː	s aː n oː	4	309	306	218
उक्त	slr54	ʊktə	ʊ k t ə	4	305	305	213
जसको	slr54	ɟʌsəkoː	ɟ ʌ s ə k oː	6	305	305	228
भाषा	slr54	bʰaːʂaː	bʰ aː ʂ aː	4	305	300	227
दक्षिण	slr54	dʌkʂɪɳ	d ʌ k ʂ ɪ ɳ	6	304	304	237
अञ्चलको	slr54	ʌɲcələkoː	ʌ ɲ c ə l ə k oː	8	303	303	221
तपाईँको	slr54	təpaːĩkoː	t ə p aː ĩ k oː	7	303	301	228
स्थापना	slr54	stʰaːpənaː	s tʰ aː p ə n aː	7	300	300	225
प्रकाशित	slr54	pɾəkaːʃɪt	p ɾ ə k aː ʃ ɪ t	8	299	299	228
यसका	slr54	jʌsəkaː	j ʌ s ə k aː	6	299	299	222
सक्छ	slr54	sʌkcʰə	s ʌ k cʰ ə	5	298	298	230
सुरु	slr54	suɾu	s u ɾ u	4	298	298	231
प्रसिद्ध	slr54	pɾəsɪdːdʰə	p ɾ ə s ɪ dː dʰ ə	8	294	294	219
गर्छ	slr54	ɡʌrrcʰə	ɡ ʌ r r cʰ ə	6	291	290	219
जो	slr54	ɟoː	ɟ oː	2	290	287	212
हजार	slr54	həɟaːɾə	h ə ɟ aː ɾ ə	6	290	290	217
सम्म	slr54	sʌmmə	s ʌ m m ə	5	288	288	222
यसले	slr54	jʌsəleː	j ʌ s ə l eː	6	283	283	220
लेख	slr54	leːkʰ	l eː kʰ	3	283	279	220
३	slr54	tiːn	t iː n	3	282	282	221
पहिले	slr54	pʌhɪleː	p ʌ h ɪ l eː	6	280	275	206
तपाईँ	slr54	təpaːĩ	t ə p aː ĩ	5	277	277	212
धार्मिक	slr54	dʰaːrrmɪkə	dʰ aː r r m ɪ k ə	8	277	277	207
चलचित्र	slr54	cələcɪtɾə	c ə l ə c ɪ t ɾ ə	9	274	272	216
जसमा	slr54	ɟʌsəmaː	ɟ ʌ s ə m aː	6	274	274	218
जस्तो	slr54	ɟʌstoː	ɟ ʌ s t oː	5	274	274	219
पर्छ	slr54	pʌrrcʰə	p ʌ r r cʰ ə	6	274	274	212
हामी	slr54	haːmi	h aː m i	4	273	273	209
त्यसको	slr54	tːjʌsəkoː	tː j ʌ s ə k oː	7	272	271	212
गाविस	slr54	ɡaːwɪs	ɡ aː w ɪ s	5	271	270	200
भएर	slr54	bʰəeːɾə	bʰ ə eː ɾ ə	5	270	270	211
पूर्व	slr54	puːrrw	p uː r r w	5	269	269	205
वर्षको	slr54	wʌrrʂəkoː	w ʌ r r ʂ ə k oː	8	269	269	211
गर्यो	slr54	ɡʌrrjoː	ɡ ʌ r r j oː	6	268	268	206
महिला	slr54	mʌhɪlaː	m ʌ h ɪ l aː	6	267	267	207
बेला	slr54	beːlaː	b eː l aː	4	264	261	198
सेवा	slr54	seːwaː	s eː w aː	4	264	263	203
काठमाडौँ	slr54	kaːʈʰəmaːɖɔ̃	k aː ʈʰ ə m aː ɖ ɔ̃	8	263	263	201
का	slr54	kaː	k aː	2	262	262	202
दोस्रो	slr54	doːsɾoː	d oː s ɾ oː	5	261	261	203
यदि	slr54	jʌdɪ	j ʌ d ɪ	4	260	260	200
भनेर	slr54	bʰəneːɾə	bʰ ə n eː ɾ ə	6	259	259	206
परिवर्तन	slr54	pəɾɪwʌrrtən	p ə ɾ ɪ w ʌ r r t ə n	11	258	258	208
नदी	slr54	nʌdi	n ʌ d i	4	257	254	203
छु	slr54	cʰu	cʰ u	2	256	256	191
समिति	slr54	sʌmɪtɪ	s ʌ m ɪ t ɪ	6	256	256	191
हाल	slr54	haːl	h aː l	3	255	255	202
सम्पादन	slr54	səmpaːdən	s ə m p aː d ə n	8	254	254	196
अनि	slr54	ʌnɪ	ʌ n ɪ	3	253	253	201
तपाईँले	slr54	təpaːĩleː	t ə p aː ĩ l eː	7	253	253	195
पर्दछ	slr54	pʌrrdəcʰə	p ʌ r r d ə cʰ ə	8	253	253	200
आर्थिक	slr54	aːrrtʰɪkə	aː r r tʰ ɪ k ə	7	252	252	207
गरियो	slr54	ɡʌɾɪjoː	ɡ ʌ ɾ ɪ j oː	6	251	251	197
अध्ययन	slr54	ʌdʰjəjən	ʌ dʰ j ə j ə n	7	250	250	195
त्यहाँ	slr54	tːjʌhã	tː j ʌ h ã	5	249	249	198
आफ्ना	slr54	aːpʰːnaː	aː pʰː n aː	4	248	245	192
गर्दछन्	slr54	ɡʌrrdəcʰən	ɡ ʌ r r d ə cʰ ə n	9	248	248	195
जस्ता	slr54	ɟʌstaː	ɟ ʌ s t aː	5	244	244	186
तयार	slr54	təjaːɾə	t ə j aː ɾ ə	6	244	244	186
भारत	slr54	bʰaːɾət	bʰ aː ɾ ə t	5	244	244	199
रूपले	slr54	ɾuːpəleː	ɾ uː p ə l eː	6	243	243	187
५	slr54	paːnc	p aː n c	4	243	243	187
जानकारी	slr54	ɟaːnəkaːɾi	ɟ aː n ə k aː ɾ i	8	242	242	195
वटा	slr54	wʌʈaː	w ʌ ʈ aː	4	241	240	196
अन्तर्राष्ट्रिय	slr54	əntərrɾaːʂʈɾɪjə	ə n t ə r r ɾ aː ʂ ʈ ɾ ɪ j ə	14	240	240	196
देखिन्छ	slr54	deːkʰɪncʰə	d eː kʰ ɪ n cʰ ə	7	240	240	196
त्यसैले	slr54	tːjəsɛːleː	tː j ə s ɛː l eː	7	238	238	190
पटक	slr54	pʌʈəkə	p ʌ ʈ ə k ə	6	238	213	178
स्थान	slr54	stʰaːn	s tʰ aː n	4	238	238	187
आएको	slr54	aːeːkoː	aː eː k oː	4	237	237	192
अहिले	slr54	ʌhɪleː	ʌ h ɪ l eː	5	236	236	191
१०	slr54	dʌs	d ʌ s	3	236	236	177
प्रकारको	slr54	pɾəkaːɾəkoː	p ɾ ə k aː ɾ ə k oː	9	235	235	178
प्रत्येक	slr54	pɾətːjeːkə	p ɾ ə tː j eː k ə	8	235	235	185
हुनु	slr54	hunuʲu	h u n u u	5	233	232	192
आधारमा	slr54	aːdʰaːɾəmaː	aː dʰ aː ɾ ə m aː	7	232	232	179
चार	slr54	caːɾə	c aː ɾ ə	4	231	231	185
पाँच	slr54	pãc	p ã c	3	231	231	180
यस्ता	slr54	jʌstaː	j ʌ s t aː	5	231	231	185
जसले	slr54	ɟʌsəleː	ɟ ʌ s ə l eː	6	230	230	178
४	slr54	caːrɾ	c aː r ɾ	4	230	230	193
कम	slr54	kʌmə	k ʌ m ə	4	229	225	181
जीवन	slr54	ɟɪːwən	ɟ ɪː w ə n	5	229	229	186
हाम्रो	slr54	haːmɾoː	h aː m ɾ oː	5	229	229	186
पाइने	slr54	paːɪneː	p aː ɪ n eː	5	228	228	186
सहयोग	slr54	səhəjoːɡ	s ə h ə j oː ɡ	7	228	228	178
हुँदै	slr54	hũdɛː	h ũ d ɛː	4	228	228	182
प्रदान	slr54	pɾədaːn	p ɾ ə d aː n	6	226	222	179
अब	slr54	ʌbə	ʌ b ə	3	225	225	183
पुरानो	slr54	puɾaːnoː	p u ɾ aː n oː	6	225	224	170
सय	slr54	sʌjə	s ʌ j ə	4	225	225	176
जब	slr54	ɟʌb	ɟ ʌ b	3	222	221	184
क्षेत्रको	slr54	kʂeːtɾəkoː	k ʂ eː t ɾ ə k oː	8	221	221	178
निकै	slr54	nɪkɛː	n ɪ k ɛː	4	221	221	175
लगभग	slr54	lʌɡəbʰəɡ	l ʌ ɡ ə bʰ ə ɡ	7	221	221	179
प्राचीन	slr54	pɾaːcɪːn	p ɾ aː c ɪː n	6	220	220	184
होला	slr54	hoːlaː	h oː l aː	4	218	218	175
अथवा	slr54	ətʰəwaː	ə tʰ ə w aː	5	217	217	177
थाहा	slr54	tʰaːhaː	tʰ aː h aː	4	215	212	179
बनेको	slr54	bəneːkoː	b ə n eː k oː	6	215	215	175
स्थानमा	slr54	stʰaːnəmaː	s tʰ aː n ə m aː	7	213	213	176
हुँदैन	slr54	hũdɛːnə	h ũ d ɛː n ə	6	213	211	174
पूर्वी	slr54	puːrrwiː	p uː r r w iː	6	212	212	183
विज्ञान	slr54	wɪɟɲaːn	w ɪ ɟ ɲ aː n	6	212	205	169
सम्बन्धित	slr54	səmbʌndʰɪt	s ə m b ʌ n dʰ ɪ t	9	212	212	171
करिब	slr54	kʌɾɪb	k ʌ ɾ ɪ b	5	211	211	166
पूजा	slr54	puːɟaː	p uː ɟ aː	4	211	211	177
आवश्यक	slr54	aːwʌʃjəkə	aː w ʌ ʃ j ə k ə	8	210	208	173
अर्थ	slr54	ʌrrtʰə	ʌ r r tʰ ə	5	209	208	171
लिएर	slr54	lɪʲeːɾə	l ɪ eː ɾ ə	5	209	209	172
शिक्षा	slr54	ʃɪkʂaː	ʃ ɪ k ʂ aː	5	209	208	170
आज	slr54	aːɟəː	aː ɟ əː	3	208	208	170
उच्च	slr54	ʊccə	ʊ c c ə	4	208	208	174
देश	slr54	deːʃ	d eː ʃ	3	204	204	162
पानी	slr54	paːni	p aː n i	4	204	204	168
हुनुहुन्छ	slr54	hunuhuncʰə	h u n u h u n cʰ ə	9	203	203	168
आउने	slr54	aːʊneː	aː ʊ n eː	4	202	197	155
उत्तर	slr54	ʊttəɾə	ʊ t t ə ɾ ə	6	201	201	163
अगाडि	slr54	əɡaːɖɪ	ə ɡ aː ɖ ɪ	5	200	200	157
गरिने	slr54	ɡʌɾɪneː	ɡ ʌ ɾ ɪ n eː	6	200	200	163
यही	slr54	jʌhi	j ʌ h i	4	200	200	166
जसलाई	slr54	ɟəsəlaːi	ɟ ə s ə l aː i	7	199	199	165
अमेरिकी	slr54	əmeːɾɪkiː	ə m eː ɾ ɪ k iː	7	197	197	155
छोरा	slr54	cʰoːɾaː	cʰ oː ɾ aː	4	195	195	160
पूर्ण	slr54	puːrrɳə	p uː r r ɳ ə	6	195	195	166
अधिकार	slr54	ədʰɪkaːɾə	ə dʰ ɪ k aː ɾ ə	7	194	194	164
ऐतिहासिक	slr54	ʌɪtɪhaːsɪkə	ʌ ɪ t ɪ h aː s ɪ k ə	10	194	194	161
पत्रिका	slr54	pʌtɾɪkaː	p ʌ t ɾ ɪ k aː	7	194	185	153
व्यवस्था	slr54	ʋjəwʌstʰaː	ʋ j ə w ʌ s tʰ aː	8	194	194	159
अनेक	slr54	əneːkə	ə n eː k ə	5	193	193	163
उल्लेख	slr54	ʊllleːkʰ	ʊ l l l eː kʰ	6	193	193	157
भनेको	slr54	bʰəneːkoː	bʰ ə n eː k oː	6	193	193	163
सङ्ख्या	slr54	sʌŋkʰjaː	s ʌ ŋ kʰ j aː	6	193	193	164
हुँदा	slr54	hũdaː	h ũ d aː	4	193	193	161
एवं	slr54	eːwən	eː w ə n	4	192	192	155
त्यही	slr54	tːjʌhi	tː j ʌ h i	5	192	192	159
प्रवेश	slr54	pɾəweːʃ	p ɾ ə w eː ʃ	6	192	192	157
होइन	slr54	hoinə	h o i n ə	5	192	192	163
अस्ट्रेलियाली	slr54	əsʈɾeːlɪjaːli	ə s ʈ ɾ eː l ɪ j aː l i	11	191	191	153
त्यसलाई	slr54	tːjəsəlaːi	tː j ə s ə l aː i	8	191	191	159
पृष्ठमा	slr54	pɾɪʂʈʰəmaː	p ɾ ɪ ʂ ʈʰ ə m aː	8	191	191	158
प्रथम	slr54	pɾʌtʰəmə	p ɾ ʌ tʰ ə m ə	7	191	191	155
६	slr54	cʰə	cʰ ə	2	191	190	164
कुल	slr54	kul	k u l	3	189	189	153
नामक	slr54	naːməkə	n aː m ə k ə	6	188	188	153
नेपालका	slr54	neːpaːləkaː	n eː p aː l ə k aː	8	188	188	165
स्थानीय	slr54	stʰaːnɪːjə	s tʰ aː n ɪː j ə	7	188	188	150
फेरि	slr54	pʰeːɾɪ	pʰ eː ɾ ɪ	4	187	187	157
प्रतिशत	slr54	pɾʌtɪʃət	p ɾ ʌ t ɪ ʃ ə t	8	186	184	153
भएपछि	slr54	bʰəeːpəcʰɪ	bʰ ə eː p ə cʰ ɪ	7	186	186	151
श्री	slr54	ʃɾiː	ʃ ɾ iː	3	186	180	148
घर	slr54	ɡʰʌɾə	ɡʰ ʌ ɾ ə	4	185	185	155
भाषामा	slr54	bʰaːʂaːmaː	bʰ aː ʂ aː m aː	6	185	185	152
उहाँ	slr54	ʊhã	ʊ h ã	3	184	184	151
केन्द्र	slr54	keːndɾə	k eː n d ɾ ə	6	184	183	160
लेखिएको	slr54	leːkʰɪʲeːkoː	l eː kʰ ɪ eː k oː	7	184	184	151
सामान्य	slr54	saːmaːnjə	s aː m aː n j ə	7	184	184	151
गते	slr54	ɡʌteː	ɡ ʌ t eː	4	183	183	149
प्रकाशन	slr54	pɾəkaːʃən	p ɾ ə k aː ʃ ə n	8	183	179	144
विश्वास	slr54	wɪʃwaːs	w ɪ ʃ w aː s	6	181	181	151
गर्छन्	slr54	ɡʌrrcʰən	ɡ ʌ r r cʰ ə n	7	180	180	151
क्याम्पस	slr54	kːjaːmpəs	kː j aː m p ə s	7	179	165	138
यसरी	slr54	jʌsəɾiː	j ʌ s ə ɾ iː	6	179	179	153
पहाडी	slr54	pəhaːɖi	p ə h aː ɖ i	6	178	178	148
विश्वविद्यालय	slr54	wɪʃwwɪdjaːləjə	w ɪ ʃ w w ɪ d j aː l ə j ə	13	178	171	144
स्थापित	slr54	stʰaːpɪt	s tʰ aː p ɪ t	6	178	178	147
उहाँले	slr54	ʊhãleː	ʊ h ã l eː	5	177	177	151
देशको	slr54	deːʃəkoː	d eː ʃ ə k oː	6	177	177	141
माथि	slr54	maːtʰɪ	m aː tʰ ɪ	4	177	177	148
भारतमा	slr54	bʰaːɾətəmaː	bʰ aː ɾ ə t ə m aː	8	176	176	147
योगदान	slr54	joːɡədaːn	j oː ɡ ə d aː n	7	176	176	149
भागमा	slr54	bʰaːɡəmaː	bʰ aː ɡ ə m aː	6	175	175	146
यसै	slr54	jʌsɛː	j ʌ s ɛː	4	175	175	154
जारी	slr54	ɟaːɾi	ɟ aː ɾ i	4	174	173	141
पुरस्कार	slr54	puɾəskaːɾə	p u ɾ ə s k aː ɾ ə	9	174	174	140
पृष्ठ	slr54	pɾɪʂʈʰə	p ɾ ɪ ʂ ʈʰ ə	6	174	174	145
राजधानी	slr54	ɾaːɟədʰaːni	ɾ aː ɟ ə dʰ aː n i	8	174	174	143
सो	slr54	soː	s oː	2	174	174	143
अवस्थामा	slr54	əwəstʰaːmaː	ə w ə s tʰ aː m aː	8	173	173	151
गाविसको	slr54	ɡaːwɪsəkoː	ɡ aː w ɪ s ə k oː	8	173	173	156
आफ्नै	slr54	aːpʰːnɛː	aː pʰː n ɛː	4	172	172	152
भूमिका	slr54	bʰuːmɪkaː	bʰ uː m ɪ k aː	6	172	172	151
तपाईँलाई	slr54	təpaːĩlaːi	t ə p aː ĩ l aː i	8	171	171	147
सम्पूर्ण	slr54	səmpuːrrɳə	s ə m p uː r r ɳ ə	9	171	171	144
संयुक्त	slr54	səɲjuktə	s ə ɲ j u k t ə	8	170	170	142
सम्बन्ध	slr54	səmbʌndʰə	s ə m b ʌ n dʰ ə	8	170	170	145
बाहिर	slr54	baːhɪɾə	b aː h ɪ ɾ ə	6	169	169	146
जहाँ	slr54	ɟʌhã	ɟ ʌ h ã	4	168	165	142
प्रकार	slr54	pɾəkaːɾə	p ɾ ə k aː ɾ ə	7	167	167	145
बनाउन	slr54	bənaːʊn	b ə n aː ʊ n	6	167	167	137
भाषाको	slr54	bʰaːʂaːkoː	bʰ aː ʂ aː k oː	6	167	167	148
१२	slr54	baːɾə	b aː ɾ ə	4	167	167	142
थुप्रै	slr54	tʰupɾɛː	tʰ u p ɾ ɛː	5	166	166	142
या	slr54	jaː	j aː	2	164	161	140
स्थित	slr54	stʰɪt	s tʰ ɪ t	4	164	164	137
अङ्ग्रेजी	slr54	əŋɡɾeːɟi	ə ŋ ɡ ɾ eː ɟ i	7	163	163	134
७	slr54	saːt	s aː t	3	163	163	137
धर्म	slr54	dʰʌrrmə	dʰ ʌ r r m ə	6	162	162	136
निर्वाचन	slr54	nɪrrwaːcən	n ɪ r r w aː c ə n	9	162	162	137
बसोबास	slr54	bəsoːbaːs	b ə s oː b aː s	7	162	162	132
सफल	slr54	sʌpʰəl	s ʌ pʰ ə l	5	162	162	138
राजनैतिक	slr54	ɾaːɟənɛːtɪkə	ɾ aː ɟ ə n ɛː t ɪ k ə	10	161	161	135
लाख	slr54	laːkʰ	l aː kʰ	3	161	161	136
अन्तिम	slr54	ʌntɪmə	ʌ n t ɪ m ə	6	160	160	135
क्रममा	slr54	kɾʌməmaː	k ɾ ʌ m ə m aː	7	160	160	134
माछा	slr54	maːcʰaː	m aː cʰ aː	4	160	160	140
मूल	slr54	muːl	m uː l	3	160	160	143
राज्यको	slr54	ɾaːɟjəkoː	ɾ aː ɟ j ə k oː	7	160	160	137
सहर	slr54	sʌhəɾə	s ʌ h ə ɾ ə	6	160	160	140
अधिक	slr54	ʌdʰɪkə	ʌ dʰ ɪ k ə	5	159	158	133
दिने	slr54	dɪneː	d ɪ n eː	4	159	159	132
