rank	utterances	cum_share
293	300	0.658503530603844
294	300	0.6604034071118711
295	300	0.662303283619898
296	299	0.6641968272062316
297	299	0.6660903707925652
298	299	0.6679839143788987
299	299	0.6698774579652322
300	298	0.6717646686298724
301	298	0.6736518792945125
302	298	0.6755390899591527
303	298	0.6774263006237928
304	297	0.6793071783667395
305	297	0.6811880561096862
306	297	0.6830689338526329
307	296	0.6849434786738862
308	295	0.686811690573446
309	295	0.6886799024730059
310	294	0.6905417814508723
311	293	0.6923973275070454
312	292	0.694246540641525
313	292	0.6960957537760045
314	292	0.6979449669104841
315	292	0.6997941800449637
316	292	0.7016433931794434
317	291	0.7034862733922295
318	291	0.7053291536050157
319	290	0.7071657008961084
320	290	0.7090022481872011
321	290	0.7108387954782939
322	290	0.7126753427693867
323	290	0.7145118900604794
324	289	0.7163421044298788
325	289	0.718172318799278
326	289	0.7200025331686773
327	289	0.7218327475380767
328	289	0.723662961907476
329	288	0.7254868433551819
330	288	0.7273107248028878
331	288	0.7291346062505937
332	287	0.7309521547766061
333	287	0.7327697033026187
334	287	0.7345872518286312
335	287	0.7364048003546436
336	287	0.7382223488806561
337	286	0.7400335644849751
338	285	0.7418384471676007
339	285	0.7436433298502264
340	285	0.745448212532852
341	285	0.7472530952154777
342	285	0.7490579778981032
343	284	0.7508565276590355
344	284	0.7526550774199677
345	284	0.7544536271808999
346	284	0.7562521769418321
347	283	0.7580443937810709
348	283	0.7598366106203097
349	283	0.7616288274595484
350	282	0.7634147113770938
351	282	0.7652005952946391
352	282	0.7669864792121845
353	281	0.7687660302080365
354	281	0.7705455812038884
355	281	0.7723251321997403
356	281	0.7741046831955923
357	279	0.7758715683480574
358	279	0.7776384535005225
359	278	0.7793990057312942
360	278	0.7811595579620658
361	278	0.7829201101928375
362	277	0.7846743295019157
363	277	0.786428548810994
364	277	0.7881827681200722
365	276	0.789930654507457
366	276	0.7916785408948418
367	275	0.7934200943605332
368	275	0.7951616478262247
369	274	0.7968968683702226
370	274	0.7986320889142206
371	274	0.8003673094582185
372	272	0.8020898641588297
373	272	0.8038124188594408
374	272	0.8055349735600519
375	270	0.8072448624172762
376	269	0.8089484183528071
377	269	0.8106519742883379
378	269	0.8123555302238687
379	269	0.8140590861593996
380	268	0.815756309173237
381	267	0.8174471992653811
382	267	0.8191380893575251
383	267	0.8208289794496691
384	265	0.8225072036984262
385	265	0.8241854279471834
386	265	0.8258636521959406
387	263	0.8275292106013109
388	263	0.8291947690066812
389	262	0.8308539944903581
390	262	0.832513219974035
391	261	0.8341661125360185
392	261	0.835819005098002
393	260	0.837465564738292
394	260	0.8391121243785821
395	260	0.8407586840188721
396	259	0.8423989107374688
397	258	0.8440328045343719
398	258	0.8456666983312752
399	257	0.8472942592064849
400	256	0.8489154871600013
401	256	0.8505367151135176
402	256	0.852157943067034
403	256	0.8537791710205503
404	256	0.8554003989740667
405	256	0.857021626927583
406	255	0.858636521959406
407	255	0.8602514169912289
408	253	0.861853646179665
409	252	0.8634495424464077
410	251	0.8650391057914569
411	247	0.8666033374497324
412	246	0.8681612361863146
413	246	0.8697191349228967
414	245	0.8712707007377853
415	245	0.872822266552674
416	244	0.8743674994458693
417	243	0.8759063994173713
418	243	0.8774452993888731
419	242	0.8789778664386815
420	242	0.8805104334884899
421	242	0.8820430005382983
422	241	0.8835692346664134
423	241	0.8850954687945284
424	240	0.8866153700009499
425	239	0.8881289382856781
426	238	0.8896361736487128
427	238	0.8911434090117476
428	238	0.8926506443747823
429	235	0.8941388809727367
430	235	0.8956271175706912
431	234	0.8971090212469522
432	233	0.8985845920015199
433	232	0.9000538298343941
434	230	0.9015104018238814
435	229	0.9029606408916754
436	228	0.9044045470377758
437	228	0.9058484531838764
438	227	0.9072860264082835
439	226	0.9087172667109972
440	224	0.910135841170324
441	224	0.9115544156296508
442	224	0.9129729900889776
443	224	0.9143915645483044
444	223	0.9158038060859377
445	223	0.9172160476235711
446	223	0.9186282891612045
447	223	0.920040530698838
448	222	0.9214464393147779
449	222	0.9228523479307178
450	220	0.924245590703271
451	220	0.9256388334758241
452	219	0.9270257433266837
453	218	0.92840632025585
454	216	0.9297742313416295
455	216	0.9311421424274089
456	213	0.932491054748108
457	213	0.9338399670688072
458	213	0.9351888793895063
459	212	0.9365314587885121
460	212	0.9378740381875178
461	210	0.9392039517431366
462	210	0.9405338652987556
463	210	0.9418637788543744
464	208	0.9431810265666065
465	208	0.9444982742788386
466	208	0.9458155219910706
467	206	0.9471201038599157
468	203	0.9484056869636807
469	201	0.9496786042240588
470	201	0.9509515214844368
471	200	0.9522181058231215
472	198	0.9534720243184193
473	198	0.9547259428137171
474	196	0.955967195465628
475	192	0.9571831164307654
476	191	0.9583927044742092
477	191	0.959602292517653
478	190	0.9608055476394034
479	190	0.9620088027611539
480	186	0.9631867261961305
481	184	0.9643519837877205
482	184	0.9655172413793104
483	183	0.9666761660492068
484	182	0.9678287577974098
485	180	0.968968683702226
486	180	0.9701086096070423
487	177	0.9712295367467781
488	172	0.9723187992780469
489	172	0.9734080618093157
490	171	0.9744909914188911
491	170	0.975567588106773
492	170	0.976644184794655
493	169	0.9777144485608436
494	166	0.9787657135619519
495	166	0.97981697856306
496	166	0.9808682435641684
497	165	0.9819131756435832
498	164	0.9829517748013046
499	159	0.9839587093505588
500	157	0.9849529780564263
501	149	0.9858965833887464
502	148	0.986833855799373
503	144	0.987745796523226
504	143	0.9886514043253856
505	138	0.989525347519078
506	128	0.9903359614958361
507	125	0.9911275767075141
508	124	0.9919128589974985
509	122	0.9926854754440961
510	112	0.9933947626737596
511	104	0.9940533865298755
512	104	0.9947120103859916
513	99	0.9953389696336404
514	83	0.9958646021341946
515	81	0.9963775687913619
516	76	0.9968588708400621
517	73	0.9973211741236819
518	62	0.9977138152686742
519	57	0.9980747918051993
520	56	0.998429435420031
521	52	0.998758747348089
522	50	0.9990753934327602
523	46	0.9993667078306576
524	39	0.9996136917767012
525	29	0.9997973465058104
526	19	0.9999176720179855
527	13	1.0
