word	rank	similar_word	dist	ipa	freq	n_utts
अडिग	2	अलग	0.0625	ʌləɡ	136	117
अडिग	3	अतः	0.0833	ʌtəh	4	4
अडिग	4	अपच	0.0885	ʌpəc	7	7
अडिग	5	अधिन	0.0885	ʌdʰɪn	4	4
अण्डबाहिनी	1	अन्नबालीको	0.0896	ənnəbaːlɪːkoː	2	2
अण्डबाहिनी	2	अग्रभागमा	0.0917	əɡɾəbʰaːɡəmaː	1	1
अण्डबाहिनी	3	अन्धकारमा	0.0917	əndʰəkaːɾəmaː	1	1
अण्डबाहिनी	4	अष्टधातुले	0.0979	əʂʈədʰaːtuleː	1	1
अण्डबाहिनी	5	अण्डकोषको	0.1	əɳɖəkoːʂəkoː	1	1
अत्यन्त	1	अत्यन्तै	0.0119	ətːjʌntɛː	46	46
अत्यन्त	2	अभ्यस्त	0.0625	əbʰjʌstə	1	1
अत्यन्त	3	अन्यत्र	0.0685	ənjʌtɾə	4	4
अत्यन्त	4	अत्युक्ति	0.0744	ətːjuktɪ	3	3
अत्यन्त	5	अध्यक्ष	0.0804	ədʰjʌkʂə	94	94
अदुवाको	1	अगुवाको	0.0268	əɡuwaːkoː	3	3
अदुवाको	2	अभावको	0.0685	əbʰaːwəkoː	7	7
अदुवाको	3	अनुयायी	0.0774	ənujaːjiː	13	13
अदुवाको	4	अभावका	0.0804	əbʰaːwəkaː	3	3
अदुवाको	5	अनुरागी	0.0833	ənuɾaːɡiː	3	3
अधिकारपत्र	1	अधिकारभन्दा	0.0399	ədʰɪkaːɾəbʰʌndaː	1	1
अधिकारपत्र	2	अधिकारसम्म	0.0556	ədʰɪkaːɾəsʌmmə	1	1
अधिकारपत्र	3	अनुमतिपत्र	0.0885	ənumətɪpətɾʌ	5	5
अधिकारपत्र	4	अधिकारीद्वारा	0.0903	ədʰɪkaːɾɪːdːwaːɾaː	5	5
अधिकारपत्र	5	अधिकारमाथि	0.1007	ədʰɪkaːɾəmaːtʰɪ	10	10
अधिपत्य	1	अलपत्र	0.0625	ələpʌtɾə	1	1
अधिपत्य	2	अभिमन्यु	0.0703	əbʰɪmʌnju	5	5
अधिपत्य	3	अधिराज्य	0.0755	ədʰɪɾaːɟjə	9	9
अधिपत्य	4	असामान्य	0.0938	əsaːmaːnjə	5	5
अधिपत्य	5	अभिनेत्री	0.099	əbʰɪneːtɾi	61	61
अध्ययनबाट	1	अध्ययनलाई	0.053	ədʰjəjənəlaːi	11	11
अध्ययनबाट	2	अध्ययनशील	0.0587	ədʰjəjənəʃɪːl	2	2
अध्ययनबाट	3	अन्वेषणबाट	0.0644	ənweːʂəɳəbaːʈ	1	1
अध्ययनबाट	4	अण्डाशयबाट	0.0985	əɳɖaːʃəjəbaːʈ	1	1
अध्ययनबाट	5	अभीष्टसमेत	0.1155	əbʰɪːʂʈəsəmeːt	1	1
अनर्थ	1	अनर्स	0.0179	ənʌrrsə	1	1
अनर्थ	2	अथर्स	0.0417	ətʰʌrrsə	1	1
अनर्थ	3	अमूर्त	0.0446	əmuːrrtə	3	3
अनर्थ	4	अधर्म	0.0565	ədʰʌrrmə	2	2
अनर्थ	5	अनार्य	0.0625	ənaːrrjə	1	1
अनियन्त्रित	1	अतिविस्तृत	0.0583	ətɪwɪstɾɪt	1	1
अनियन्त्रित	2	अनिर्धारित	0.1062	ənɪrrdʰaːɾɪt	4	4
अनियन्त्रित	3	अपरिष्कृत	0.1083	əpəɾɪʂkɾɪt	1	1
अनियन्त्रित	4	अभियानकस	0.1167	əbʰɪjaːnəkəs	1	1
अनियन्त्रित	5	अभियानसग	0.1167	əbʰɪjaːnəsəɡ	1	1
अनुनय	1	अनुभव	0.0506	ənubʰəwə	58	58
अनुनय	2	अनुभवि	0.0625	ənubʰəwɪ	3	3
अनुनय	3	अनुपम	0.0685	ənupəmə	13	13
अनुनय	4	अनुमति	0.0714	ənumətɪ	42	42
अनुनय	5	अनुभवी	0.0744	ənubʰəwiː	3	3
अनुमतिबेगर	1	अनुमोदनहरू	0.0721	ənumoːdənəhəɾuː	1	1
अनुमतिबेगर	2	अनलिमिटेडले	0.0978	ənəlɪmɪʈeːɖəleː	1	1
अनुमतिबेगर	3	अनुमतिपत्र	0.1042	ənumətɪpətɾʌ	5	5
अनुमतिबेगर	4	अहमदाबादको	0.109	əhəmədaːbaːdəkoː	1	1
अनुमतिबेगर	5	अमरबहादुर	0.1106	əməɾəbəhaːduɾə	5	5
अनुविभागमा	1	अरुणधारामा	0.0985	əɾuɳədʰaːɾaːmaː	2	2
अनुविभागमा	2	अधिवेशनमा	0.1023	ədʰɪweːʃənəmaː	2	2
अनुविभागमा	3	अनुपूरकका	0.1174	ənupuːɾəkəkaː	1	1
अनुविभागमा	4	अनामनगर	0.1193	ənaːmənəɡəɾə	3	3
अनुविभागमा	5	अभिव्यञ्जना	0.1212	əbʰɪwjʌɲɟənaː	1	1
अनेक	1	अनेकौँ	0.0167	əneːkɔ̃	16	16
अनेक	2	अडेका	0.05	əɖeːkaː	4	4
अनेक	3	अनोखा	0.05	ənoːkʰaː	4	4
अनेक	4	अटेका	0.0583	əʈeːkaː	2	2
अनेक	5	अलीको	0.0667	əlɪːkoː	1	1
अन्तक्रम	1	अन्तगृह	0.0463	əntəɡɾɪhə	2	2
अन्तक्रम	2	अन्तक्रिया	0.0509	əntʌkɾɪjaː	1	1
अन्तक्रम	3	अध्यक्षमा	0.088	ədʰjʌkʂəmaː	8	8
अन्तक्रम	4	अन्तध्वनि	0.0972	əntədʰwʌnɪ	2	2
अन्तक्रम	5	अन्तसम्म	0.0995	əntəsʌmmə	14	14
अन्तरिक्षहरूको	1	अन्त्येष्टिहरूको	0.1069	əntːjeːʂʈɪhəɾuːkoː	3	3
अन्तरिक्षहरूको	2	अम्पायरहरूको	0.1181	əmpaːjəɾəhəɾuːkoː	4	4
अन्तरिक्षहरूको	3	अस्वीकृतहरूको	0.1181	əswɪːkɾɪtəhəɾuːkoː	1	1
अन्तरिक्षहरूको	4	अन्वेषकहरूको	0.1208	ənweːʂəkəhəɾuːkoː	2	2
अन्तरिक्षहरूको	5	अस्पतालहरूको	0.1222	əspətaːləhəɾuːkoː	3	3
अन्तिममा	1	अन्तरमा	0.0417	ʌntəɾəmaː	8	8
अन्तिममा	2	अन्तिमको	0.0469	ʌntɪməkoː	5	5
अन्तिममा	3	अप्सनमा	0.0625	ʌpsənəmaː	2	2
अन्तिममा	4	अन्तरिम	0.0677	ʌntəɾɪmə	40	39
अन्तिममा	5	अञ्चलमा	0.0755	ʌɲcələmaː	28	28
अन्नको	1	अन्नका	0.0139	ʌnnəkaː	1	1
अन्नको	2	अन्नाको	0.0208	ʌnnaːkoː	16	16
अन्नको	3	अन्तको	0.0208	ʌntəkoː	2	2
अन्नको	4	अन्नाका	0.0347	ʌnnaːkaː	5	5
अन्नको	5	अन्यको	0.0451	ʌnjəkoː	3	3
अन्वेषकहरूको	1	अन्वेषकहरूले	0.0312	ənweːʂəkəhəɾuːleː	2	2
अन्वेषकहरूको	2	अध्ययनहरूका	0.0744	ədʰjəjənəhəɾuːkaː	1	1
अन्वेषकहरूको	3	अम्पायरहरूको	0.0804	əmpaːjəɾəhəɾuːkoː	4	4
अन्वेषकहरूको	4	अस्पतालहरूको	0.0908	əspətaːləhəɾuːkoː	3	3
अन्वेषकहरूको	5	अस्पतालहरूका	0.0967	əspətaːləhəɾuːkaː	2	2
अपनाउने	1	अपनाउनु	0.026	əpənaːʊnu	5	5
अपनाउने	2	अपनाउँदै	0.0312	əpənaːũdɛː	6	6
अपनाउने	3	अपनाउँदा	0.0365	əpənaːũdaː	8	8
अपनाउने	4	अपराह्न	0.0651	əpəɾaːhnə	1	1
अपनाउने	5	अपनाएका	0.0755	əpənaːeːkaː	8	8
अपरेट	1	अपडेट	0.0312	əpəɖeːʈ	2	2
अपरेट	2	अपराध	0.0347	əpəɾaːdʰ	31	31
अपरेट	3	अपलोड	0.0382	əpəloːɖ	52	52
अपरेट	4	अफसेट	0.0382	əpʰəseːʈ	2	2
अपरेट	5	अफबाट	0.0625	əpʰəbaːʈ	1	1
अप्टिकल	1	अफ्रिकन	0.0565	ʌpʰɾɪkən	23	23
अप्टिकल	2	अक्सिजन	0.0714	ʌksɪɟən	10	10
अप्टिकल	3	अन्ततः	0.1101	ʌntətəh	7	7
अप्टिकल	4	अध्यपन	0.119	ʌdʰjəpən	1	1
अप्टिकल	5	अन्नकुट	0.122	ʌnnəkuʈ	2	2
अफगान	1	अभियान	0.0486	əbʰɪjaːn	63	63
अफगान	2	अपमान	0.0486	əpəmaːn	3	3
अफगान	3	अभिजात	0.0486	əbʰɪɟaːt	1	1
अफगान	4	अनजान	0.0521	ənəɟaːn	3	3
अफगान	5	अनजान्	0.0521	ənəɟaːn	1	1
अफ्रिकाका	1	अफ्रिकाको	0.0104	əpʰɾɪkaːkoː	23	23
अफ्रिकाका	2	अफ्रिकामा	0.0365	əpʰɾɪkaːmaː	22	22
अफ्रिकाका	3	अफ्रिकाले	0.0547	əpʰɾɪkaːleː	2	2
अफ्रिकाका	4	अमृताको	0.0547	əmɾɪtaːkoː	2	2
अफ्रिकाका	5	अफ्रिकाली	0.0651	əpʰɾɪkaːli	4	4
अब्राहमको	1	अध्यापनको	0.0667	ədʰjaːpənəkoː	1	1
अब्राहमको	2	अल्कोहलको	0.0875	əlkoːhələkoː	4	4
अब्राहमको	3	अन्नहरूको	0.0917	ənnəhəɾuːkoː	1	1
अब्राहमको	4	अत्याचारको	0.0938	ətːjaːcaːɾəkoː	2	2
अब्राहमको	5	अद्यावधिक	0.0958	ədjaːwədʰɪkə	4	4
अभिनयत्मक	1	अहिलेसम्मकै	0.0972	əhɪleːsʌmməkɛː	3	3
अभिनयत्मक	2	अगरबत्तीका	0.0972	əɡəɾəbʌttɪːkaː	2	2
अभिनयत्मक	3	अहिलेसम्मको	0.1007	əhɪleːsʌmməkoː	7	7
अभिनयत्मक	4	अभिमानसिंह	0.1076	əbʰɪmaːnəsɪŋhə	1	1
अभिनयत्मक	5	अभिनयसँगै	0.1111	əbʰɪnəjəʃʌ̃ɡɛː	1	1
अभियन्ताहरूलाई	1	अभियानहरूलाई	0.0792	əbʰɪjaːnəhəɾuːlaːi	2	2
अभियन्ताहरूलाई	2	अभिव्यक्तिहरूलाई	0.0924	əbʰɪwjʌktɪhəɾuːlaːi	2	2
अभियन्ताहरूलाई	3	अफगानहरूलाई	0.0986	əpʰəɡaːnəhəɾuːlaːi	2	2
अभियन्ताहरूलाई	4	अभिधारणाहरूलाई	0.1055	əbʰɪdʰaːɾəɳaːhəɾuːlaːi	3	3
अभियन्ताहरूलाई	5	असफलताहरूलाई	0.1081	əsəpʰələtaːhəɾuːlaːi	3	3
अभिवक्तालाई	1	अभियुक्तलाई	0.0379	əbʰɪjuktəlaːi	4	4
अभिवक्तालाई	2	अभिव्यक्तिलाई	0.0972	əbʰɪwjʌktɪlaːi	3	3
अभिवक्तालाई	3	अधिराज्यलाई	0.0985	ədʰɪɾaːɟjəlaːi	6	6
अभिवक्तालाई	4	अधिकांशलाई	0.0985	ədʰɪkaːnʃəlaːi	4	4
अभिवक्तालाई	5	अध्ययनलाई	0.1004	ədʰjəjənəlaːi	11	11
अमरकोष	1	अमरकोश	0.0052	əməɾəkoːʃ	4	4
अमरकोष	2	अमरदास	0.0443	əməɾədaːs	2	2
अमरकोष	3	अमलाबास	0.0703	əməlaːbaːs	2	2
अमरकोष	4	अमेरिकन	0.0729	əmeːɾɪkən	63	63
अमरकोष	5	अपराजित	0.0833	əpəɾaːɟɪt	2	2
अमात्यले	1	अमात्यको	0.0547	əmaːtːjəkoː	1	1
अमात्यले	2	अमेच्योर	0.0729	əmeːcːjoːɾə	1	1
अमात्यले	3	असत्यको	0.1042	əsʌtːjəkoː	2	2
अमात्यले	4	अयोग्यता	0.1068	əjoːɡjətaː	1	1
अमात्यले	5	अपनाउने	0.1094	əpənaːʊneː	9	9
अमेजन	1	अनेकन	0.0312	əneːkən	4	4
अमेजन	2	अनेकौं	0.0451	əneːkɔːn	10	10
अमेजन	3	अनजान	0.059	ənəɟaːn	3	3
अमेजन	4	अनजान्	0.059	ənəɟaːn	1	1
अमेजन	5	अनागत	0.059	ənaːɡət	1	1
अम्लीय	1	अन्याय	0.0833	ənjaːjə	3	3
अम्लीय	2	अन्धेर	0.0938	əndʰeːɾə	2	2
अम्लीय	3	अज्ञेय	0.0938	əɟɲeːjə	1	1
अम्लीय	4	अस्तेय	0.0938	əsteːjə	1	1
अम्लीय	5	अन्जीर	0.0972	ənɟɪːɾə	1	1
अरुका	1	अरुको	0.0167	ʌɾukoː	2	2
अरुका	2	अरुचि	0.05	ʌɾucɪ	5	5
अरुका	3	अरुणा	0.05	ʌɾuɳaː	1	1
अरुका	4	अलिको	0.0708	ʌlɪkoː	1	1
अरुका	5	अर्का	0.075	ʌrrkaː	29	29
अर्कामा	1	अर्कैमा	0.0179	ərrkɛːmaː	2	2
अर्कामा	2	अर्काका	0.0417	ərrkaːkaː	4	4
अर्कामा	3	अर्काले	0.0446	ərrkaːleː	4	4
अर्कामा	4	अर्छानी	0.0506	ərrcʰaːni	1	1
अर्कामा	5	अर्काको	0.0536	ərrkaːkoː	22	22
अर्जुनको	1	अर्जुनका	0.0093	ʌrrɟunəkaː	2	2
अर्जुनको	2	अर्जुनक	0.0139	ʌrrɟunəkə	2	2
अर्जुनको	3	अर्जुनकी	0.0185	ʌrrɟunəki	1	1
अर्जुनको	4	अर्जुनले	0.0486	ʌrrɟunəleː	8	8
अर्जुनको	5	अभिजनको	0.0787	ʌbʰɪɟənəkoː	2	2
अर्थशास्त्रीहरू	1	अर्थमन्त्रीहरू	0.0458	ərrtʰəməntɾɪːhəɾuː	1	1
अर्थशास्त्रीहरू	2	अर्थतन्त्रलाई	0.1347	ərrtʰətəntɾəlaːi	2	2
अर्थशास्त्रीहरू	3	अन्धराष्ट्रवादी	0.1458	əndʰəɾaːʂʈɾəwaːdi	5	5
अर्थशास्त्रीहरू	4	अदालतहरूबारे	0.1514	ədaːlətəhəɾuːbaːɾeː	1	1
अर्थशास्त्रीहरू	5	अर्थसङ्कटका	0.1625	ərrtʰəsʌŋkəʈəkaː	2	2
अर्न्तगत	1	अन्तरगत	0.0926	ʌntəɾəɡət	2	2
अर्न्तगत	2	अध्यनरत	0.125	ʌdʰjənəɾət	4	4
अर्न्तगत	3	अप्रचलित	0.1273	ʌpɾəcəlɪt	2	2
अर्न्तगत	4	अग्रगमन	0.1343	ʌɡɾəɡəmən	1	1
अर्न्तगत	5	अर्थसहित	0.1417	ʌrrtʰəsəhɪt	2	2
अलविदा	1	असुविधा	0.0536	əsuwɪdʰaː	5	5
अलविदा	2	अधवैँसे	0.0655	ədʰəwɛ̃seː	1	1
अलविदा	3	अरावली	0.0804	əɾaːwəliː	2	2
अलविदा	4	अतिवादी	0.0893	ətɪwaːdi	4	4
अलविदा	5	अरबीमा	0.0893	əɾəbɪːmaː	2	2
अल्पमत	1	अन्ततः	0.0982	ʌntətəh	7	7
अल्पमत	2	अध्यपन	0.1012	ʌdʰjəpən	1	1
अल्पमत	3	अध्ययन	0.119	ʌdʰjəjən	250	250
अल्पमत	4	अष्टादश	0.119	ʌʂʈaːdəʃ	1	1
अल्पमत	5	अन्नकुट	0.122	ʌnnəkuʈ	2	2
अवचेतन	1	अवशोषण	0.0573	əwəʃoːʂəɳ	2	2
अवचेतन	2	अविकसित	0.0677	əwɪkəsɪt	3	3
अवचेतन	3	अवलोकन	0.0729	əwəloːkən	13	13
अवचेतन	4	अवशोषित	0.0755	əwəʃoːʂɪt	1	1
अवचेतन	5	अपरेसन	0.0885	əpəɾeːsən	9	9
अवरोधै	1	अवतार	0.0774	əwətaːɾə	28	28
अवरोधै	2	अपराधी	0.0774	əpəɾaːdʰi	5	5
अवरोधै	3	अविनले	0.0804	əwɪnəleː	6	6
अवरोधै	4	अविनाशी	0.0923	əwɪnaːʃiː	2	2
अवरोधै	5	अवार्ड	0.0952	əwaːrrɖə	8	8
अवस्थानपछि	1	अवस्थाहरूमा	0.1059	əwəstʰaːhəɾuːmaː	5	5
अवस्थानपछि	2	अविस्मरणीय	0.1076	əwɪsməɾəɳɪːjə	2	2
अवस्थानपछि	3	अहिंसामूलक	0.1146	əhɪnsaːmuːləkə	3	3
अवस्थानपछि	4	अनुष्ठानहरू	0.1163	ənuʂʈʰaːnəhəɾuː	2	2
अवस्थानपछि	5	अपस्फीतिकर	0.1163	əpəspʰɪːtɪkəɾə	1	1
अविश्वास	1	अकस्मात्	0.1131	əkəsmaːt	2	2
अविश्वास	2	अवस्थीत	0.128	əwəstʰɪːt	1	1
अविश्वास	3	अवस्थित	0.1399	əwʌstʰɪt	511	511
अविश्वास	4	अभिज्ञान	0.1458	əbʰɪɟɲaːn	10	10
अविश्वास	5	अनुस्यूत	0.1458	ənusjuːt	1	1
अष्टधातुले	1	अस्पतालले	0.0604	əspətaːləleː	6	6
अष्टधातुले	2	अस्पतालमै	0.0875	əspətaːləmɛː	1	1
अष्टधातुले	3	अस्पतालमा	0.0917	əspətaːləmaː	46	46
अष्टधातुले	4	अण्डबाहिनी	0.0979	əɳɖəbaːhɪniː	1	1
अष्टधातुले	5	अस्पतालको	0.1042	əspətaːləkoː	17	17
असमलाई	1	अतितलाई	0.0495	ətɪtəlaːi	1	1
असमलाई	2	अतिथिलाई	0.0651	ətɪtʰɪlaːi	1	1
असमलाई	3	अनाजलाई	0.0677	ənaːɟəlaːi	1	1
असमलाई	4	अनेकलाई	0.0781	əneːkəlaːi	2	2
असमलाई	5	अभावलाई	0.0859	əbʰaːwəlaːi	4	4
असीमित	1	अनुमित	0.0694	ənumɪt	4	4
असीमित	2	अनामीत	0.0694	ənaːmɪːt	2	2
असीमित	3	अभिनीत	0.0764	əbʰɪnɪːt	3	3
असीमित	4	असमान	0.0764	əsəmaːn	2	2
असीमित	5	अश्वमेध	0.0903	əʃwmeːdʰ	1	1
अस्ताउँदो	1	अप्ठ्यारो	0.131	əpʈʰjaːɾoː	9	9
अस्ताउँदो	2	अल्झाएर	0.131	əlɟʰaːeːɾə	1	1
अस्ताउँदो	3	अस्पष्ट	0.131	əspʌʂʈə	1	1
अस्ताउँदो	4	अप्टिक्स	0.1518	əpʈɪksə	1	1
अस्ताउँदो	5	अत्यन्त	0.1548	ətːjʌntə	92	92
अस्रङ	1	अस्टन	0.0833	ʌsʈən	2	2
अस्रङ	2	अग्रज	0.0875	ʌɡɾəɟ	3	3
अस्रङ	3	अस्टिन	0.1	ʌsʈɪn	5	5
अस्रङ	4	अप्सन	0.1125	ʌpsən	4	4
अस्रङ	5	अध्यन	0.1125	ʌdʰjən	2	2
अहिलेसम्मको	1	अहिलेसम्मकै	0.0104	əhɪleːsʌmməkɛː	3	3
अहिलेसम्मको	2	अमरसिंहको	0.092	əməɾəsɪŋhəkoː	4	4
अहिलेसम्मको	3	अभिनयत्मक	0.1007	əbʰɪnəjʌtməkə	1	1
अहिलेसम्मको	4	अक्षरसम्मको	0.1058	əkʂəɾəsʌmməkoː	1	1
अहिलेसम्मको	5	अगरबत्तीका	0.1146	əɡəɾəbʌttɪːkaː	2	2
आँखीभुई	1	आँकलाई	0.1146	ãkʌlaːiː	1	1
आँखीभुई	2	आँधीलाई	0.1181	ãdʰɪːlaːiː	2	2
आँखीभुई	3	आँखाबाट	0.1354	ãkʰaːbaːʈ	1	1
आँखीभुई	4	आँखीभुईं	0.1399	ãkʰɪːbʰuɪːn	2	2
आँखीभुई	5	आँकलन	0.1667	ãkʌlən	3	3
आंध्र	1	आन्ध्र	0.0	aːndʰɾə	18	18
आंध्र	2	आदर	0.0875	aːdəɾə	13	13
आंध्र	3	आमिर	0.0917	aːmɪɾə	4	4
आंध्र	4	आङ्ग्ल	0.1042	aːŋɡlə	1	1
आंध्र	5	आर्य	0.1083	aːrrjə	18	16
आइतबारमा	1	आइतबारका	0.0292	aːɪtəbaːɾəkaː	7	7
आइतबारमा	2	आइतबारको	0.0375	aːɪtəbaːɾəkoː	9	9
आइतबारमा	3	आइनूहरुमा	0.0875	aːɪnuːhəɾumaː	1	1
आइतबारमा	4	आक्रमणमा	0.0896	aːkɾəməɳəmaː	11	11
आइतबारमा	5	आइतबारबाट	0.0928	aːɪtəbaːɾəbaːʈ	1	1
आइफोनको	1	आईफोनका	0.0156	aːɪːpʰoːnəkaː	1	1
आइफोनको	2	आइपरेको	0.0547	aːɪpəɾeːkoː	5	5
आइफोनको	3	आइरनको	0.0573	aːɪɾənəkoː	2	2
आइफोनको	4	आइपुगेको	0.0703	aːɪpuɡeːkoː	5	5
आइफोनको	5	आइपुगेका	0.0807	aːɪpuɡeːkaː	6	6
आईएलओ	1	आइएलओ	0.0069	aːɪʲeːləoː	1	1
आईएलओ	2	आमैलाई	0.1111	aːmɛːlaːi	4	4
आईएलओ	3	आगालाई	0.1111	aːɡaːlaːi	1	1
आईएलओ	4	आजलाई	0.1111	aːɟəlaːi	1	1
आईएलओ	5	आइएस्सी	0.1146	aːɪʲeːssiː	10	10
आउनाले	1	आउनमा	0.0729	aːʊnəmaː	1	1
आउनाले	2	आउनाको	0.0729	aːʊnaːkoː	1	1
आउनाले	3	आइपीले	0.0799	aːɪpɪːleː	1	1
आउनाले	4	आउँदथे	0.0833	aːũdʌtʰeː	4	4
आउनाले	5	आउनेको	0.0868	aːʊneːkoː	5	5
आओ	1	आए	0.0417	aːeː	82	82
आओ	2	आऊ	0.0625	aːʊ	1	1
आओ	3	आई	0.0833	aːi	23	23
आओ	4	आउँ	0.0833	aːũ	7	7
आओ	5	आऊँ	0.0833	aːũ	2	2
आकाशवाणीद्वारा	1	आकाशमण्डलमा	0.1295	aːkaːʃəmʌɳɖələmaː	6	6
आकाशवाणीद्वारा	2	आकाशमण्डलको	0.1414	aːkaːʃəmʌɳɖələkoː	6	6
आकाशवाणीद्वारा	3	आकशमण्डलको	0.1503	aːkəʃəmʌɳɖələkoː	1	1
आकाशवाणीद्वारा	4	आफ्नैहरूद्वारा	0.1607	aːpʰːnɛːhəɾuːdːwaːɾaː	1	1
आकाशवाणीद्वारा	5	आधाररेखाभन्दा	0.1682	aːdʰaːɾəɾeːkʰaːbʰʌndaː	1	1
आक्सिजन	1	आक्रमण	0.0774	aːkɾəməɳ	64	64
आक्सिजन	2	आव्रजन	0.0804	aːwɾʌɟən	1	1
आक्सिजन	3	आउँदछन्	0.1012	aːũdʌcʰən	3	3
आक्सिजन	4	आउनेछन्	0.1012	aːʊneːcʰən	3	3
आक्सिजन	5	आउनजान	0.1012	aːʊnəɟaːn	1	1
आगिन्चोक	1	आगन्तुक	0.0495	aːɡʌntukə	5	5
आगिन्चोक	2	आफन्तको	0.0964	aːpʰʌntəkoː	3	3
आगिन्चोक	3	आरण्यक	0.0964	aːɾʌɳjəkə	1	1
आगिन्चोक	4	आकस्मिक	0.1042	aːkʌsmɪkə	10	10
आगिन्चोक	5	आनन्दको	0.1042	aːnʌndəkoː	4	4
आचार्यहरूद्वारा	1	आदिवासीहरूद्वारा	0.0938	aːdɪwaːsɪːhəɾuːdːwaːɾaː	5	5
आचार्यहरूद्वारा	2	आविष्कारहरूद्वारा	0.1287	aːwɪʂkaːɾəhəɾuːdːwaːɾaː	3	3
आचार्यहरूद्वारा	3	आवश्यकताभन्दा	0.1862	aːwəʃjəkətaːbʰʌndaː	3	3
आचार्यहरूद्वारा	4	आमजनसमुदायमा	0.1863	aːməɟənəsəmudaːjəmaː	1	1
आचार्यहरूद्वारा	5	८९४	0.1875	aːʈʰsajə cɔːɾaːnəbbeː	4	4
आठपटक	1	आसपासका	0.0602	aːsəpaːsəkaː	10	10
आठपटक	2	आसपासको	0.0602	aːsəpaːsəkoː	9	9
आठपटक	3	आनुपातिक	0.0694	aːnupaːtɪkə	3	3
आठपटक	4	आसनजिक	0.0694	aːsənəɟɪkə	1	1
आठपटक	5	आगमनको	0.0718	aːɡəmənəkoː	8	8
आत्मतत्त्वहरूको	1	आत्मद्रव्यहरूको	0.1198	aːtmədɾəwjʌhəɾuːkoː	2	2
आत्मतत्त्वहरूको	2	आत्मसंस्मरणको	0.1302	aːtməsənsməɾəɳəkoː	3	3
आत्मतत्त्वहरूको	3	आग्नेयास्त्रहरूका	0.1367	aːɡneːjaːstɾəhəɾuːkaː	2	2
आत्मतत्त्वहरूको	4	आत्मनिर्णयको	0.1444	aːtmənɪrrɳəjəkoː	3	3
आत्मतत्त्वहरूको	5	आप्रवासीहरूको	0.1486	aːpɾəwaːsɪːhəɾuːkoː	7	7
आत्मालोचना	1	आन्दोलनमा	0.0896	aːndoːlənəmaː	93	93
आत्मालोचना	2	आन्दोलनले	0.1	aːndoːlənəleː	13	13
आत्मालोचना	3	आन्दोलनका	0.1104	aːndoːlənəkaː	27	27
