word	freq	n_utts	n_speakers
गर्दछ	358	358	259
उनका	356	356	254
विशेष	353	353	255
यसमा	351	351	251
समयमा	350	350	259
बारेमा	349	348	252
समेत	348	348	253
लामो	340	340	245
ईपू	335	335	233
भाग	334	334	240
भारतको	334	334	240
२	331	331	242
रहेका	329	329	234
मानिन्छ	327	327	236
त्यसपछि	326	326	239
साथ	322	322	240
सालमा	316	316	235
ती	312	312	236
सानो	309	306	218
उक्त	305	305	213
जसको	305	305	228
भाषा	305	300	227
दक्षिण	304	304	237
अञ्चलको	303	303	221
तपाईँको	303	301	228
स्थापना	300	300	225
प्रकाशित	299	299	228
यसका	299	299	222
सक्छ	298	298	230
सुरु	298	298	231
प्रसिद्ध	294	294	219
गर्छ	291	290	219
जो	290	287	212
हजार	290	290	217
सम्म	288	288	222
यसले	283	283	220
लेख	283	279	220
३	282	282	221
पहिले	280	275	206
तपाईँ	277	277	212
धार्मिक	277	277	207
चलचित्र	274	272	216
जसमा	274	274	218
जस्तो	274	274	219
पर्छ	274	274	212
हामी	273	273	209
त्यसको	272	271	212
गाविस	271	270	200
भएर	270	270	211
पूर्व	269	269	205
वर्षको	269	269	211
गर्यो	268	268	206
महिला	267	267	207
बेला	264	261	198
सेवा	264	263	203
काठमाडौँ	263	263	201
का	262	262	202
दोस्रो	261	261	203
यदि	260	260	200
भनेर	259	259	206
परिवर्तन	258	258	208
नदी	257	254	203
छु	256	256	191
समिति	256	256	191
हाल	255	255	202
सम्पादन	254	254	196
अनि	253	253	201
तपाईँले	253	253	195
पर्दछ	253	253	200
आर्थिक	252	252	207
गरियो	251	251	197
अध्ययन	250	250	195
त्यहाँ	249	249	198
आफ्ना	248	245	192
गर्दछन्	248	248	195
जस्ता	244	244	186
तयार	244	244	186
भारत	244	244	199
रूपले	243	243	187
५	243	243	187
जानकारी	242	242	195
वटा	241	240	196
अन्तर्राष्ट्रिय	240	240	196
देखिन्छ	240	240	196
त्यसैले	238	238	190
पटक	238	213	178
स्थान	238	238	187
आएको	237	237	192
अहिले	236	236	191
१०	236	236	177
प्रकारको	235	235	178
प्रत्येक	235	235	185
हुनु	233	232	192
आधारमा	232	232	179
चार	231	231	185
पाँच	231	231	180
यस्ता	231	231	185
जसले	230	230	178
४	230	230	193
कम	229	225	181
जीवन	229	229	186
हाम्रो	229	229	186
पाइने	228	228	186
सहयोग	228	228	178
हुँदै	228	228	182
प्रदान	226	222	179
अब	225	225	183
पुरानो	225	224	170
सय	225	225	176
जब	222	221	184
क्षेत्रको	221	221	178
निकै	221	221	175
लगभग	221	221	179
प्राचीन	220	220	184
होला	218	218	175
अथवा	217	217	177
थाहा	215	212	179
बनेको	215	215	175
स्थानमा	213	213	176
हुँदैन	213	211	174
पूर्वी	212	212	183
विज्ञान	212	205	169
सम्बन्धित	212	212	171
करिब	211	211	166
पूजा	211	211	177
आवश्यक	210	208	173
अर्थ	209	208	171
लिएर	209	209	172
शिक्षा	209	208	170
आज	208	208	170
उच्च	208	208	174
देश	204	204	162
पानी	204	204	168
हुनुहुन्छ	203	203	168
आउने	202	197	155
उत्तर	201	201	163
अगाडि	200	200	157
गरिने	200	200	163
यही	200	200	166
जसलाई	199	199	165
अमेरिकी	197	197	155
छोरा	195	195	160
पूर्ण	195	195	166
अधिकार	194	194	164
ऐतिहासिक	194	194	161
पत्रिका	194	185	153
व्यवस्था	194	194	159
अनेक	193	193	163
उल्लेख	193	193	157
भनेको	193	193	163
सङ्ख्या	193	193	164
हुँदा	193	193	161
एवं	192	192	155
त्यही	192	192	159
प्रवेश	192	192	157
होइन	192	192	163
अस्ट्रेलियाली	191	191	153
त्यसलाई	191	191	159
पृष्ठमा	191	191	158
प्रथम	191	191	155
६	191	190	164
कुल	189	189	153
नामक	188	188	153
नेपालका	188	188	165
स्थानीय	188	188	150
फेरि	187	187	157
प्रतिशत	186	184	153
भएपछि	186	186	151
श्री	186	180	148
घर	185	185	155
भाषामा	185	185	152
उहाँ	184	184	151
केन्द्र	184	183	160
लेखिएको	184	184	151
सामान्य	184	184	151
गते	183	183	149
प्रकाशन	183	179	144
विश्वास	181	181	151
गर्छन्	180	180	151
क्याम्पस	179	165	138
यसरी	179	179	153
पहाडी	178	178	148
विश्वविद्यालय	178	171	144
स्थापित	178	178	147
उहाँले	177	177	151
देशको	177	177	141
माथि	177	177	148
भारतमा	176	176	147
योगदान	176	176	149
भागमा	175	175	146
यसै	175	175	154
जारी	174	173	141
पुरस्कार	174	174	140
पृष्ठ	174	174	145
राजधानी	174	174	143
सो	174	174	143
अवस्थामा	173	173	151
गाविसको	173	173	156
आफ्नै	172	172	152
भूमिका	172	172	151
तपाईँलाई	171	171	147
सम्पूर्ण	171	171	144
संयुक्त	170	170	142
सम्बन्ध	170	170	145
बाहिर	169	169	146
जहाँ	168	165	142
प्रकार	167	167	145
बनाउन	167	167	137
भाषाको	167	167	148
१२	167	167	142
थुप्रै	166	166	142
या	164	161	140
स्थित	164	164	137
अङ्ग्रेजी	163	163	134
७	163	163	137
धर्म	162	162	136
निर्वाचन	162	162	137
बसोबास	162	162	132
सफल	162	162	138
राजनैतिक	161	161	135
लाख	161	161	136
अन्तिम	160	160	135
क्रममा	160	160	134
माछा	160	160	140
मूल	160	160	143
राज्यको	160	160	137
सहर	160	160	140
अधिक	159	158	133
दिने	159	159	132
यहाँको	159	159	135
हरेक	158	156	141
अञ्चल	157	157	134
आधुनिक	156	155	134
उपलब्ध	156	156	135
शब्द	156	156	133
अन्तर्गत	155	154	131
थिएन	155	155	137
दिएको	155	155	131
मानव	155	154	132
सञ्चालन	155	155	138
केवल	154	154	136
दिए	154	153	135
महत्त्वपूर्ण	154	154	127
प्रकारका	153	153	131
विचार	152	152	132
साल	152	152	124
जति	151	151	130
जान्छ	151	151	132
भारतका	151	151	135
मिटर	151	151	133
विवाह	151	151	134
परम्परा	150	150	131
कलेज	149	146	129
प्रस्तुत	149	149	127
२०	149	149	128
घोषणा	148	148	124
छोरी	148	148	129
ज्ञान	148	148	129
प्रति	148	148	126
मानिसहरू	148	148	131
अर्थात्	147	147	126
महिना	146	145	127
व्यक्ति	146	146	130
बनाउने	145	145	126
विषयमा	145	145	126
अफ	144	144	127
ईसा	144	144	125
मध्य	144	144	118
राजनीतिक	144	144	122
सदरमुकाम	144	144	116
अघि	143	143	124
उसको	143	143	131
एउटै	143	143	122
गएको	143	143	130
घरमा	143	141	119
त्यसमा	143	143	123
तत्कालीन	142	142	128
थाले	142	142	125
नगर	142	142	121
नदीको	142	139	118
सरकारले	142	142	116
गीत	141	141	128
तिनको	141	141	119
रोग	141	141	124
लाग्छ	141	141	116
उहाँको	140	140	123
किनभने	140	140	125
परेको	140	140	121
भएकाले	140	140	119
पश्चिम	139	139	122
लाग्ने	139	139	131
सार्वजनिक	139	139	120
अस्पताल	138	137	120
जाने	138	138	125
मन	138	138	126
कथा	137	137	123
गर्नुभएको	137	137	117
प्रकाश	137	137	113
१५	137	137	115
अलग	136	117	105
धन्यवाद	136	136	121
२००७	136	136	124
अधिकांश	135	135	117
केन्द्रीय	135	135	112
खेल	135	135	114
प्रधानमन्त्री	135	135	116
प्रभाव	135	135	114
प्राकृतिक	135	135	124
वैज्ञानिक	135	135	120
सक्ने	135	135	114
११	135	135	115
इतिहास	134	134	117
पुरुष	134	134	115
स्वतन्त्र	134	134	119
कारणले	133	133	122
ग्रह	133	133	120
चलन	133	133	112
ठाउँ	133	133	116
बनाइएको	133	133	110
मध्ये	133	133	113
कर्णाली	132	130	105
कृषि	132	132	119
थिइन्	131	131	111
मानिस	131	131	112
हुनेछ	131	131	121
गाविसमा	130	130	118
बनाएको	130	130	116
ध्यान	129	129	116
परिवार	129	129	111
लागेको	129	129	119
तेस्रो	128	128	114
मान्यता	128	128	111
रहन्छ	128	128	114
रूप	128	128	114
हुनाले	128	128	119
आफूलाई	127	127	116
फल	127	127	110
विद्यालय	127	127	108
२०१०	127	127	111
अरू	126	126	113
उत्पन्न	126	126	110
बनाएर	126	126	106
कसरी	125	121	108
त्यस्तै	125	125	110
समस्या	125	124	113
सुझाव	125	125	110
अति	124	124	106
बाटो	124	124	109
सरकारी	124	116	104
उत्तरी	123	123	109
मृत्यु	123	123	111
कालो	122	122	111
दिल्ली	122	122	115
नेता	122	122	112
पुस्तक	121	121	107
प्रभावित	121	120	105
सन्देश	121	121	107
३०	121	120	109
८	121	121	104
जना	120	120	108
द	120	120	113
साना	120	111	97
९	120	120	109
उत्पादन	119	118	105
राजनीतिमा	119	119	102
गर्नका	118	118	103
सात	118	118	111
१४	118	118	106
आएका	117	117	100
न	117	115	105
मन्दिरको	116	116	102
मात्रामा	116	116	104
योजना	116	116	99
राई	116	116	103
लगायत	116	116	105
उपत्यका	115	115	100
कला	115	115	102
गरेपछि	115	115	110
पश्चिममा	115	115	97
सांस्कृतिक	115	114	102
सामेल	115	115	104
रचना	114	114	102
लेखहरू	114	114	101
जातिको	113	112	107
जेल	113	113	98
देशमा	113	112	103
भित्र	113	113	102
शक्ति	113	113	98
२५	113	113	102
कार्यालय	112	112	105
कृपया	112	112	99
राखिएको	112	112	92
संविधान	112	112	100
उपयोग	111	111	100
चर्चित	111	111	103
प्रयास	111	111	101
सालको	111	111	96
सुन्दर	111	110	101
त्यसै	110	110	101
दक्षिणमा	110	110	99
निर्णय	110	110	98
पूर्वमा	110	110	100
फरक	110	92	86
युद्ध	110	110	100
लेखक	110	110	105
१८	110	110	103
एवम्	109	109	100
खेलाडी	109	109	101
समर्थन	109	109	97
उसले	108	108	95
टाढा	108	108	97
मिलेर	108	108	95
रहे	108	108	97
लिन	108	108	96
वनस्पति	108	108	94
विद्यार्थी	108	108	101
सन्तान	108	108	96
अवस्था	107	107	97
पत्रिकाको	107	107	94
प्रचलित	107	107	94
यहाँका	107	107	92
स्थल	107	107	94
अनुमान	106	106	96
पोखरा	106	105	92
प्रयोगकर्ता	106	106	100
यात्रा	106	106	96
यिनको	106	106	92
रह्यो	106	106	96
सम्पन्न	106	106	96
हामीले	106	106	89
आकार	105	104	94
आधार	105	105	97
कायम	105	105	99
पानीमा	105	105	92
यति	105	105	88
यिनी	105	105	91
सरकारको	105	105	98
स्वास्थ्य	105	105	94
आधारित	104	104	91
एकै	104	104	92
कविता	104	104	88
गर्नुहोला	104	104	92
दिनमा	104	104	93
लगायतका	104	104	91
विशाल	104	104	94
हात	104	104	93
अग्लो	103	102	91
अनुरोध	103	103	92
इतिहासमा	103	103	89
उनीहरूको	103	103	94
जीवनको	103	103	99
लगाउने	103	103	93
कसैले	102	102	92
कहिले	102	93	88
नामले	102	102	85
भई	102	102	100
मुक्त	102	102	97
सक्रिय	102	102	88
स्थिति	102	102	94
उमेरमा	101	101	90
कार्यक्रम	101	101	94
बजार	101	101	92
बाहेक	101	101	90
मन्दिरमा	101	101	88
आवश्यकता	100	100	90
उनीहरू	100	100	92
दुवै	100	100	96
पिता	100	100	83
वर्ग	100	100	93
१३	100	100	90
किलोमिटर	99	99	84
नियम	99	99	89
माओवादी	99	99	92
वस्तु	99	98	89
विरुद्ध	99	99	87
शेर्पा	99	97	86
आयोजना	98	98	86
ठूलो	98	98	93
नामको	98	98	86
आदिवासी	97	97	88
औँ	97	91	84
कति	97	91	81
कम्पनी	97	97	88
नगरपालिका	97	97	89
लाग्यो	97	97	90
विकसित	97	97	82
संस्कृति	97	97	87
सैनिक	97	97	85
आमा	96	96	88
खास	96	96	85
गए	96	96	90
पर्यो	96	96	89
बन्न	96	96	89
मत	96	96	83
लिखित	96	96	84
शासन	96	96	88
समूह	96	96	89
साहित्यकार	96	96	86
कतिपय	95	95	88
खाता	95	95	89
सम्बन्धी	95	95	86
स्पष्ट	95	95	89
अझै	94	94	90
अध्यक्ष	94	94	86
जम्मा	94	94	81
नागरिक	94	94	84
निबन्ध	94	94	89
भूभाग	94	94	86
रहन	94	94	85
वर्णन	94	94	86
वर्तमान	94	94	88
अन्तरिक्ष	93	89	79
आन्दोलनमा	93	93	84
गएर	93	93	85
दिएर	93	93	86
पछिल्लो	93	93	83
साहित्य	93	93	83
२७	93	93	87
अत्यन्त	92	92	84
उपचार	92	92	87
किमि	92	92	89
छौँ	92	92	86
नजिकै	92	92	76
मान्छे	92	92	84
विश्व	92	92	82
संस्कृत	92	92	85
सम्मान	92	92	80
होस्	92	92	88
५०	92	92	76
आन्दोलन	91	91	83
खोला	91	90	84
चर्चा	91	91	84
दुबै	91	91	87
निम्न	91	91	84
भएमा	91	91	84
यन्त्र	91	85	78
सम्पर्क	91	91	84
सही	91	90	83
२१	91	91	80
२३	91	91	84
आफू	90	90	83
उपयुक्त	90	90	85
परम्परागत	90	90	76
पुरा	90	90	81
बाजा	90	89	83
बौद्ध	90	90	81
यसबाट	90	90	83
राखेर	90	90	82
लोकप्रिय	90	90	80
विषय	90	90	85
शरीरमा	90	90	78
सगरमाथा	90	90	82
आधा	89	88	82
कम्प्युटर	89	88	81
जाति	89	89	86
नम्बर	89	89	79
परिचय	89	89	85
बनाए	89	89	88
बसेको	89	89	82
सेतो	89	87	77
स्वीकार	89	89	84
आयो	88	88	81
गाउँमा	88	88	82
दर्शन	88	88	82
निर्देशक	88	88	82
बेलायती	88	88	79
राख्ने	88	88	78
सुरू	88	88	80
अझ	87	87	83
अतिरिक्त	87	87	79
उत्तरमा	87	87	78
गर्नको	87	87	77
तब	87	87	76
दिएका	87	87	81
दिनु	87	87	81
भाइ	87	87	80
शब्दको	87	86	74
साझा	87	86	78
आफूले	86	86	83
पार्टी	86	86	78
बस्न	86	86	80
राष्ट्रपति	86	85	77
विरोध	86	83	76
साधारण	86	86	77
आठ	85	85	78
गोरखा	85	85	83
तर्फबाट	85	83	77
पर्याप्त	85	85	80
प्रख्यात	85	85	84
बस्ने	85	85	78
भनिएको	85	85	78
वन	85	85	79
सुरक्षित	85	85	79
हिन्दू	85	85	82
आउँछ	84	84	80
कोही	84	83	77
खाने	84	84	78
चाहिँ	84	84	76
चुनाव	84	84	77
तल्लो	84	84	74
त्यति	84	84	80
थिएँ	84	84	77
पाउने	84	84	72
पुग्यो	84	84	80
पृथ्वीनारायण	84	84	78
भनी	84	84	75
यिनले	84	84	73
व्रत	84	84	75
शर्मा	84	84	79
सुधार	84	84	78
१९	84	84	73
उचित	83	83	77
किन	83	81	76
विशेषता	83	83	77
समान	83	83	76
अङ्ग्रेजीमा	82	82	78
आए	82	82	78
उपन्यास	82	82	73
उपन्यासकार	82	82	73
कहिल्यै	82	82	76
काठमाडौँको	82	82	77
किसिमको	82	82	77
कृति	82	82	78
गर्नुपर्छ	82	81	73
जोडिएको	82	82	72
दर्ता	82	82	75
पर्दछन्	82	82	74
पृथ्वी	82	82	78
भौतिक	82	82	71
सेना	82	82	78
कतै	81	72	68
गरिन्	81	81	73
गर्नुभयो	81	81	74
जीवनमा	81	81	75
थप	81	81	77
नेपालीमा	81	81	73
नौ	81	77	72
पुराना	81	81	75
प्रदर्शन	81	81	75
संरक्षण	81	81	71
सकिने	81	81	75
सूर्य	81	81	76
अस्ट्रेलियाको	80	80	73
उपत्यकाको	80	80	70
दशमलव	80	80	77
दिइन्छ	80	80	75
दृष्टिले	80	80	72
नजिक	80	80	75
पर्वत	80	80	74
पहिला	80	77	73
पानीको	80	80	77
बन्यो	80	80	73
रहने	80	80	76
राष्ट्र	80	80	72
वार्ता	80	80	74
विश्वको	80	78	73
सम्भव	80	80	74
सुरुवात	80	80	75
क्षेत्रफल	79	79	72
जान	79	79	75
डिग्री	79	79	73
पृष्ठको	79	79	73
बराबर	79	79	74
भौगोलिक	79	79	72
माध्यमिक	79	79	75
सरकार	79	79	72
अवधिमा	78	78	71
कालमा	78	78	71
खर्च	78	78	72
गण्डकी	78	78	73
गरेमा	78	78	75
तल	78	78	68
निम्ति	78	78	70
भन्दछन्	78	78	72
लिने	78	78	72
लेखमा	78	78	73
व्यक्त	78	78	71
शान्ति	78	76	72
हिमाली	78	78	74
उनीहरूले	77	77	72
करोड	77	77	70
दिइएको	77	77	70
प्रत्यक्ष	77	77	73
बाँकी	77	77	72
व्यक्तिले	77	77	72
सडक	77	77	69
सधैँ	77	77	72
सर्वप्रथम	77	77	73
सिंह	77	77	73
अभिनय	76	76	73
खुला	76	76	71
जुलाई	76	76	64
तिनलाई	76	76	69
द्वारा	76	76	68
नेतृत्व	76	76	69
प्रणाली	76	76	71
बागमती	76	76	68
रेडियो	76	76	72
अन्ना	75	75	69
अमेरिका	75	75	68
आँखा	75	75	70
खान	75	75	74
गराउने	75	75	71
गर्थे	75	75	73
ग्रहण	75	75	66
त्यसले	75	75	67
पवित्र	75	75	71
पश्चिमाञ्चल	75	75	71
बजारमा	75	75	70
भोजन	75	75	71
मेरा	75	75	69
वार्षिक	75	75	72
श्रेष्ठ	75	75	69
संस्था	75	75	71
सालदेखि	75	75	73
अङ्क	74	74	65
ऊर्जा	74	74	70
गरिदिए	74	74	70
गर्नुहोस्	74	74	69
झापा	74	74	67
दैनिक	74	74	70
नाममा	74	74	70
बनाइन्छ	74	74	70
भएकोले	74	74	70
लेखेको	74	74	66
विकासको	74	74	69
सम्बन्धमा	74	74	69
सूचना	74	74	70
२४	74	74	70
अत्याधिक	73	73	69
अनुसन्धान	73	73	70
अभिनेता	73	73	66
उचाइमा	73	73	69
औपचारिक	73	73	66
दैलेख	73	73	66
निजी	73	73	70
मध्यमाञ्चल	73	73	67
लामा	73	71	66
लिए	73	73	67
विभाजन	73	73	70
शरीरको	73	73	70
समाज	73	73	66
अहिलेसम्म	72	72	64
उद्योग	72	69	65
क्षेत्रलाई	72	72	63
जनताको	72	72	65
पदार्थ	72	72	63
परिवारमा	72	72	68
बन्द	72	72	70
रहेछ	72	72	68
व्यापक	72	72	67
सङ्ख्यामा	72	72	65
सम्भावना	72	72	65
सहित	72	72	68
अभाव	71	71	61
इलाम	71	71	63
गठन	71	71	68
चितवन	71	71	66
जनगणना	71	71	65
जनता	71	71	65
जातीय	71	71	70
दिन्छ	71	71	66
देखिने	71	71	65
देखेर	71	71	66
नेकपा	71	71	67
नेवार	71	71	64
पुत्र	71	71	69
प्राय	71	71	69
भइसकेको	71	71	66
रातो	71	71	66
लगातार	71	71	69
समयको	71	71	65
समस्त	71	71	68
सहभागी	71	71	69
सिद्धान्त	71	71	66
आशा	70	70	63
काठमाडौँमा	70	70	63
कान	70	68	63
कास्की	70	70	67
क्षमता	70	70	62
गाई	70	70	66
छैनन्	70	70	65
तराई	70	70	66
तिनीहरू	70	70	64
दरबार	70	70	67
दल	70	66	65
नक्षत्र	70	69	63
नमस्कार	70	70	66
नामबाट	70	70	66
पाउन	70	70	67
प्रदेशको	70	70	69
फिर्ता	70	70	67
बने	70	70	67
मेची	70	70	65
हुन्थ्यो	70	70	65
हेर्दा	70	70	64
आदिको	69	69	65
छिन्	69	69	67
जाँदा	69	69	67
जे	69	64	58
पाइन्छन्	69	68	66
माघ	69	69	64
व्यक्तिगत	69	69	63
व्यापार	69	69	59
सशस्त्र	69	69	67
सिमाना	69	69	65
सोही	69	69	66
हातमा	69	69	66
२००१	69	69	63
२०११	69	69	63
उदाहरण	68	68	63
एकमात्र	68	68	63
खगोल	68	68	64
गयो	68	68	64
ताल	68	67	63
प्रशासनिक	68	68	62
मेला	68	68	66
युद्धको	68	68	62
राम्ररी	68	68	64
वर्षसम्म	68	68	63
सर्वाधिक	68	68	65
सहायता	68	68	61
स्नातक	68	68	63
हुनुपर्छ	68	68	61
आग्रह	67	67	60
तिमी	67	67	63
नियन्त्रण	67	67	65
भएन	67	67	60
मानिने	67	67	64
मुस्लिम	67	67	60
यसो	67	67	62
लुम्बिनी	67	67	63
वास्तविक	67	67	63
विदेशी	67	67	63
संलग्न	67	67	64
सक्दैन	67	67	64
सजिलो	67	67	65
साथमा	67	67	66
सुरक्षा	67	66	60
स्नान	67	67	63
हिन्दी	67	67	61
हुनुहुन्थ्यो	67	67	61
२८	67	67	64
गरिएका	66	66	64
गरेकी	66	66	60
गर्नमा	66	66	61
गलत	66	66	63
गुरुङ	66	66	61
ग्रामीण	66	66	60
घटना	66	66	61
जन	66	66	61
जापानी	66	66	63
टेलिभिजन	66	66	60
तुलनामा	66	66	61
दान	66	66	60
पल्ट	66	66	63
पार्टीको	66	66	63
मगर	66	66	63
महाभारत	66	66	66
मार्च	66	66	62
मासिक	66	66	60
मूर्ति	66	66	62
राखी	66	66	66
राजनीति	66	65	61
विजयी	66	66	59
सङ्घको	66	66	62
सेनाको	66	66	65
स्वरूप	66	66	61
अङ्ग	65	65	61
आजको	65	65	63
ईश्वर	65	65	62
उसलाई	65	65	61
कवि	65	65	63
किनारमा	65	65	59
जनकपुर	65	64	61
पुगे	65	65	61
प्रारम्भिक	65	65	64
भवन	65	65	64
मानिसहरूको	65	65	62
यस्तै	65	64	60
ललितपुर	65	65	64
साउथ	65	65	59
अस्ट्रेलिया	64	64	58
आक्रमण	64	64	62
आमाको	64	64	60
कमी	64	64	64
चलचित्रमा	64	64	61
जनवरी	64	64	61
जसका	64	64	62
धारणा	64	64	58
नेतृत्वमा	64	64	58
पुल	64	62	60
पूरा	64	64	62
बनेका	64	64	58
बिहान	64	64	60
भन्न	64	64	60
शताब्दीमा	64	64	59
शुभ	64	62	56
सङ्कलन	64	64	61
समयसम्म	64	64	61
हजारौँ	64	64	61
हासिल	64	64	63
१६	64	64	61
अभियान	63	63	62
अमेरिकन	63	63	59
आएर	63	63	59
कडा	63	62	54
कमजोर	63	63	59
कुमार	63	63	54
गर्दछु	63	63	59
जीवित	63	62	59
ठुलो	63	63	57
नदीमा	63	63	58
पार्न	63	63	60
मे	63	63	57
राखे	63	63	61
विचारमा	63	63	58
विधि	63	63	61
विभाग	63	63	61
स्वतन्त्रता	63	63	60
अधिकारी	62	62	59
कर्म	62	62	60
गहिरो	62	62	60
थोरै	62	58	51
दिनको	62	62	55
नियुक्त	62	62	60
पर्व	62	62	59
पाए	62	62	56
पूर्वाञ्चल	62	62	60
माटो	62	62	59
माध्यमबाट	62	62	54
मौका	62	62	59
राख्न	62	62	53
विशिष्ट	62	62	56
सिर्जना	62	62	59
हक	62	62	57
हेर्न	62	62	56
२००९	62	62	59
अभिनेत्री	61	61	59
क्षेत्रका	61	61	60
गर्नाले	61	61	59
गुरु	61	61	57
घरको	61	61	58
चौथो	61	61	58
जल	61	61	58
जापानको	61	61	59
तिब्बती	61	60	56
दुईवटा	61	61	58
नियमित	61	61	58
पक्षमा	61	61	58
मिलियन	61	61	59
मौलिक	61	61	57
राखिन्छ	61	61	61
राणा	61	61	58
रेकर्ड	61	61	57
वर्षमा	61	61	56
शाखा	61	61	55
समाजमा	61	61	54
हत्या	61	61	59
अवसरमा	60	60	53
किराँत	60	58	55
त्यस्तो	60	60	53
देवता	60	60	58
पत्ता	60	60	56
पुगेको	60	60	58
बसोवास	60	60	58
माओवादीको	60	60	56
लगाउन	60	60	56
समाप्त	60	60	55
सहरहरू	60	60	54
साहित्यिक	60	60	57
सूर्यको	60	60	56
हरियो	60	60	57
२००८	60	60	55
३१	60	60	55
६०	60	60	57
अक्षर	59	59	57
खुसी	59	59	53
डा	59	59	57
थर	59	59	56
थाल्यो	59	59	54
धादिङ	59	59	56
नाच	59	59	56
निरन्तर	59	59	57
परमाणु	59	59	59
पात	59	59	56
प्रसाद	59	59	58
बन्ने	59	59	57
भन्छन्	59	59	58
मदन	59	59	53
रक्षा	59	59	57
राखेको	59	59	57
लेखलाई	59	59	57
विश्वका	59	59	55
व्याख्या	59	59	53
शरीर	59	59	57
शिक्षण	59	59	55
२२	59	59	55
अनुभव	58	58	55
काममा	58	58	54
किसिमका	58	58	55
कुराको	58	58	55
कुरामा	58	58	55
त्रिभुवन	58	58	53
दिल्लीको	58	58	52
नक्षत्रको	58	58	54
पूजाआजा	58	58	55
बनाएका	58	58	56
बाल	58	58	58
मानिसको	58	58	53
लक्ष्य	58	58	55
विस्तार	58	58	53
वृद्धि	58	58	51
सुविधा	58	58	56
४०	58	58	58
अनुवाद	57	57	56
अप्रिल	57	57	53
उनकी	57	57	55
उपाधि	57	57	53
किरण	57	57	53
गतेदेखि	57	57	49
गराउन	57	57	51
गर्मी	57	57	53
घिमिरे	57	57	52
त्यसका	57	57	54
दशकमा	57	57	53
दिल्लीमा	57	57	54
नभएर	57	57	53
पहिचान	57	57	54
बल	57	57	54
मन्त्री	57	57	55
माग	57	57	55
रकम	57	57	54
व्यक्तिको	57	57	54
व्यवस्थापन	57	57	52
सबैको	57	57	53
समाजिक	57	56	53
साहित्यमा	57	57	56
उहाँका	56	56	52
औसत	56	55	54
कुन	56	56	55
गल्ती	56	56	54
गौतम	56	56	54
जन्मिएका	56	56	52
जीव	56	56	55
देखिएको	56	56	51
देवी	56	56	54
निर्धारण	56	56	53
निर्माता	56	56	54
निर्वाचित	56	56	54
नोभेम्बर	56	56	49
पढाइ	56	56	54
पुग्न	56	56	52
