word	ipa	status
यसले	jʌsəleː	ok
लेख	leːkʰ	ok
३	tiːn	ok
पहिले	pʌhɪleː	ok
तपाईँ	təpaːĩ	ok
धार्मिक	dʰaːrrmɪkə	ok
चलचित्र	cələcɪtɾə	ok
जसमा	ɟʌsəmaː	ok
जस्तो	ɟʌstoː	ok
पर्छ	pʌrrcʰə	ok
हामी	haːmi	ok
त्यसको	tːjʌsəkoː	ok
गाविस	ɡaːwɪs	ok
भएर	bʰəeːɾə	ok
पूर्व	puːrrw	ok
वर्षको	wʌrrʂəkoː	ok
गर्यो	ɡʌrrjoː	ok
महिला	mʌhɪlaː	ok
बेला	beːlaː	ok
सेवा	seːwaː	ok
काठमाडौँ	kaːʈʰəmaːɖɔ̃	ok
का	kaː	ok
दोस्रो	doːsɾoː	ok
यदि	jʌdɪ	ok
भनेर	bʰəneːɾə	ok
परिवर्तन	pəɾɪwʌrrtən	ok
नदी	nʌdi	ok
छु	cʰu	ok
समिति	sʌmɪtɪ	ok
हाल	haːl	ok
सम्पादन	səmpaːdən	ok
अनि	ʌnɪ	ok
तपाईँले	təpaːĩleː	ok
पर्दछ	pʌrrdəcʰə	ok
आर्थिक	aːrrtʰɪkə	ok
गरियो	ɡʌɾɪjoː	ok
अध्ययन	ʌdʰjəjən	ok
त्यहाँ	tːjʌhã	ok
आफ्ना	aːpʰːnaː	ok
गर्दछन्	ɡʌrrdəcʰən	ok
जस्ता	ɟʌstaː	ok
तयार	təjaːɾə	ok
भारत	bʰaːɾət	ok
रूपले	ɾuːpəleː	ok
५	paːnc	ok
जानकारी	ɟaːnəkaːɾi	ok
वटा	wʌʈaː	ok
अन्तर्राष्ट्रिय	əntərrɾaːʂʈɾɪjə	ok
देखिन्छ	deːkʰɪncʰə	ok
त्यसैले	tːjəsɛːleː	ok
पटक	pʌʈəkə	ok
स्थान	stʰaːn	ok
आएको	aːeːkoː	ok
अहिले	ʌhɪleː	ok
१०	dʌs	ok
प्रकारको	pɾəkaːɾəkoː	ok
प्रत्येक	pɾətːjeːkə	ok
हुनु	hunuʲu	ok
आधारमा	aːdʰaːɾəmaː	ok
चार	caːɾə	ok
पाँच	pãc	ok
यस्ता	jʌstaː	ok
जसले	ɟʌsəleː	ok
४	caːrɾ	ok
कम	kʌmə	ok
जीवन	ɟɪːwən	ok
हाम्रो	haːmɾoː	ok
पाइने	paːɪneː	ok
सहयोग	səhəjoːɡ	ok
हुँदै	hũdɛː	ok
प्रदान	pɾədaːn	ok
अब	ʌbə	ok
पुरानो	puɾaːnoː	ok
सय	sʌjə	ok
जब	ɟʌb	ok
क्षेत्रको	kʂeːtɾəkoː	ok
निकै	nɪkɛː	ok
लगभग	lʌɡəbʰəɡ	ok
प्राचीन	pɾaːcɪːn	ok
होला	hoːlaː	ok
अथवा	ətʰəwaː	ok
थाहा	tʰaːhaː	ok
बनेको	bəneːkoː	ok
स्थानमा	stʰaːnəmaː	ok
हुँदैन	hũdɛːnə	ok
पूर्वी	puːrrwiː	ok
विज्ञान	wɪɟɲaːn	ok
सम्बन्धित	səmbʌndʰɪt	ok
करिब	kʌɾɪb	ok
पूजा	puːɟaː	ok
आवश्यक	aːwʌʃjəkə	ok
अर्थ	ʌrrtʰə	ok
लिएर	lɪʲeːɾə	ok
शिक्षा	ʃɪkʂaː	ok
आज	aːɟəː	ok
उच्च	ʊccə	ok
देश	deːʃ	ok
पानी	paːni	ok
हुनुहुन्छ	hunuhuncʰə	ok
आउने	aːʊneː	ok
उत्तर	ʊttəɾə	ok
अगाडि	əɡaːɖɪ	ok
गरिने	ɡʌɾɪneː	ok
यही	jʌhi	ok
जसलाई	ɟəsəlaːi	ok
अमेरिकी	əmeːɾɪkiː	ok
छोरा	cʰoːɾaː	ok
पूर्ण	puːrrɳə	ok
अधिकार	ədʰɪkaːɾə	ok
ऐतिहासिक	ʌɪtɪhaːsɪkə	ok
पत्रिका	pʌtɾɪkaː	ok
व्यवस्था	ʋjəwʌstʰaː	ok
अनेक	əneːkə	ok
उल्लेख	ʊllleːkʰ	ok
भनेको	bʰəneːkoː	ok
सङ्ख्या	sʌŋkʰjaː	ok
हुँदा	hũdaː	ok
एवं	eːwən	ok
त्यही	tːjʌhi	ok
प्रवेश	pɾəweːʃ	ok
होइन	hoinə	ok
अस्ट्रेलियाली	əsʈɾeːlɪjaːli	ok
त्यसलाई	tːjəsəlaːi	ok
पृष्ठमा	pɾɪʂʈʰəmaː	ok
प्रथम	pɾʌtʰəmə	ok
६	cʰə	ok
कुल	kul	ok
नामक	naːməkə	ok
नेपालका	neːpaːləkaː	ok
स्थानीय	stʰaːnɪːjə	ok
फेरि	pʰeːɾɪ	ok
प्रतिशत	pɾʌtɪʃət	ok
भएपछि	bʰəeːpəcʰɪ	ok
श्री	ʃɾiː	ok
घर	ɡʰʌɾə	ok
भाषामा	bʰaːʂaːmaː	ok
उहाँ	ʊhã	ok
केन्द्र	keːndɾə	ok
लेखिएको	leːkʰɪʲeːkoː	ok
सामान्य	saːmaːnjə	ok
गते	ɡʌteː	ok
प्रकाशन	pɾəkaːʃən	ok
विश्वास	wɪʃwaːs	ok
गर्छन्	ɡʌrrcʰən	ok
क्याम्पस	kːjaːmpəs	ok
यसरी	jʌsəɾiː	ok
पहाडी	pəhaːɖi	ok
विश्वविद्यालय	wɪʃwwɪdjaːləjə	ok
स्थापित	stʰaːpɪt	ok
उहाँले	ʊhãleː	ok
देशको	deːʃəkoː	ok
माथि	maːtʰɪ	ok
भारतमा	bʰaːɾətəmaː	ok
योगदान	joːɡədaːn	ok
भागमा	bʰaːɡəmaː	ok
यसै	jʌsɛː	ok
जारी	ɟaːɾi	ok
पुरस्कार	puɾəskaːɾə	ok
पृष्ठ	pɾɪʂʈʰə	ok
राजधानी	ɾaːɟədʰaːni	ok
सो	soː	ok
अवस्थामा	əwəstʰaːmaː	ok
गाविसको	ɡaːwɪsəkoː	ok
आफ्नै	aːpʰːnɛː	ok
भूमिका	bʰuːmɪkaː	ok
तपाईँलाई	təpaːĩlaːi	ok
सम्पूर्ण	səmpuːrrɳə	ok
संयुक्त	səɲjuktə	ok
सम्बन्ध	səmbʌndʰə	ok
बाहिर	baːhɪɾə	ok
जहाँ	ɟʌhã	ok
प्रकार	pɾəkaːɾə	ok
बनाउन	bənaːʊn	ok
भाषाको	bʰaːʂaːkoː	ok
१२	baːɾə	ok
थुप्रै	tʰupɾɛː	ok
या	jaː	ok
स्थित	stʰɪt	ok
अङ्ग्रेजी	əŋɡɾeːɟi	ok
७	saːt	ok
धर्म	dʰʌrrmə	ok
निर्वाचन	nɪrrwaːcən	ok
बसोबास	bəsoːbaːs	ok
सफल	sʌpʰəl	ok
राजनैतिक	ɾaːɟənɛːtɪkə	ok
लाख	laːkʰ	ok
अन्तिम	ʌntɪmə	ok
क्रममा	kɾʌməmaː	ok
माछा	maːcʰaː	ok
मूल	muːl	ok
राज्यको	ɾaːɟjəkoː	ok
सहर	sʌhəɾə	ok
अधिक	ʌdʰɪkə	ok
दिने	dɪneː	ok
यहाँको	jəhãkoː	ok
हरेक	həɾeːkə	ok
अञ्चल	ʌɲcəl	ok
आधुनिक	aːdʰunɪkə	ok
उपलब्ध	ʊpəlʌbdʰə	ok
शब्द	ʃʌbdə	ok
अन्तर्गत	əntʌrrɡət	ok
थिएन	tʰɪʲeːnə	ok
दिएको	dɪʲeːkoː	ok
मानव	maːnəwə	ok
सञ्चालन	səɲcaːlən	ok
केवल	keːwəl	ok
दिए	dɪʲeː	ok
महत्त्वपूर्ण	məhəttwpuːrrɳə	ok
प्रकारका	pɾəkaːɾəkaː	ok
विचार	wɪcaːɾə	ok
साल	saːl	ok
जति	ɟʌtɪ	ok
जान्छ	ɟaːncʰə	ok
भारतका	bʰaːɾətəkaː	ok
मिटर	mɪʈəɾə	ok
विवाह	wɪwaːhə	ok
परम्परा	pəɾʌmpəɾaː	ok
कलेज	kəleːɟ	ok
प्रस्तुत	pɾʌstut	ok
२०	biːs	ok
घोषणा	ɡʰoːʂəɳaː	ok
छोरी	cʰoːɾi	ok
ज्ञान	ɟɲaːn	ok
प्रति	pɾʌtɪ	ok
मानिसहरू	maːnɪsəhəɾuː	ok
अर्थात्	ərrtʰaːt	ok
महिना	mʌhɪnaː	ok
व्यक्ति	ʋjʌktɪ	ok
बनाउने	bənaːʊneː	ok
विषयमा	wɪʂəjəmaː	ok
अफ	ʌpʰ	ok
ईसा	ɪːsaː	ok
मध्य	mʌdʰjə	ok
राजनीतिक	ɾaːɟənɪːtɪkə	ok
सदरमुकाम	sədəɾəmukaːmə	ok
अघि	ʌɡʰɪ	ok
उसको	ʊsəkoː	ok
एउटै	eːʊʈɛː	ok
गएको	ɡəeːkoː	ok
घरमा	ɡʰʌɾəmaː	ok
त्यसमा	tːjʌsəmaː	ok
तत्कालीन	tətkaːlɪːn	ok
थाले	tʰaːleː	ok
नगर	nʌɡəɾə	ok
नदीको	nədɪːkoː	ok
सरकारले	səɾəkaːɾəleː	ok
गीत	ɡɪːt	ok
तिनको	tɪnəkoː	ok
रोग	ɾoːɡ	ok
लाग्छ	laːɡcʰə	ok
उहाँको	ʊhãkoː	ok
किनभने	kɪnəbʰəneː	ok
परेको	pəɾeːkoː	ok
भएकाले	bʰəeːkaːleː	ok
पश्चिम	pʌʃʃcɪmə	ok
लाग्ने	laːɡneː	ok
सार्वजनिक	saːrrwɟʌnɪkə	ok
अस्पताल	əspətaːl	ok
जाने	ɟaːneː	ok
मन	mʌn	ok
कथा	kʌtʰaː	ok
गर्नुभएको	ɡərrnubʰəeːkoː	ok
प्रकाश	pɾəkaːʃ	ok
१५	pʌndɾə	ok
अलग	ʌləɡ	ok
धन्यवाद	dʰənjəwaːd	ok
२००७	duːiː həzaːɾə saːt	ok
अधिकांश	ədʰɪkaːnʃ	ok
केन्द्रीय	keːndɾɪːjə	ok
खेल	kʰeːl	ok
प्रधानमन्त्री	pɾədʰaːnəmʌntɾi	ok
प्रभाव	pɾəbʰaːwə	ok
प्राकृतिक	pɾaːkɾɪtɪkə	ok
वैज्ञानिक	wɛːɟɲaːnɪkə	ok
सक्ने	sʌkneː	ok
११	eːɡʰaːɾʌ	ok
इतिहास	ɪtɪhaːs	ok
पुरुष	puɾuʂ	ok
स्वतन्त्र	swtʌntɾə	ok
कारणले	kaːɾəɳəleː	ok
ग्रह	ɡɾʌhə	ok
चलन	cʌlən	ok
ठाउँ	ʈʰaːũ	ok
बनाइएको	bənaːɪʲeːkoː	ok
मध्ये	mʌdʰjeː	ok
कर्णाली	kərrɳaːli	ok
कृषि	kɾɪʂɪ	ok
थिइन्	tʰɪʲɪn	ok
मानिस	maːnɪs	ok
हुनेछ	huneːcʰə	ok
गाविसमा	ɡaːwɪsəmaː	ok
बनाएको	bənaːeːkoː	ok
ध्यान	dʰjaːn	ok
परिवार	pəɾɪwaːɾə	ok
लागेको	laːɡeːkoː	ok
तेस्रो	teːsɾoː	ok
मान्यता	maːnjətaː	ok
रहन्छ	ɾəhʌncʰə	ok
रूप	ɾuːp	ok
हुनाले	hunaːleː	ok
आफूलाई	aːpʰuːlaːi	ok
फल	pʰʌl	ok
विद्यालय	wɪdjaːləjə	ok
२०१०	duːiː həzaːɾə dʌs	ok
अरू	ʌɾuː	ok
उत्पन्न	ʊtpʌnnə	ok
बनाएर	bənaːeːɾə	ok
कसरी	kʌsəɾiː	ok
त्यस्तै	tːjʌstɛː	ok
समस्या	səmʌsjaː	ok
सुझाव	suɟʰaːwə	ok
अति	ʌtɪ	ok
बाटो	baːʈoː	ok
सरकारी	səɾəkaːɾi	ok
उत्तरी	ʊttəɾi	ok
मृत्यु	mɾɪtːju	ok
कालो	kaːloː	ok
दिल्ली	dɪllli	ok
नेता	neːtaː	ok
पुस्तक	pustəkə	ok
प्रभावित	pɾəbʰaːwɪt	ok
सन्देश	səndeːʃ	ok
३०	tiːs	ok
८	aːʈʰ	ok
जना	ɟʌnaː	ok
द	də	ok
साना	saːnaː	ok
९	nʌuː	ok
उत्पादन	ʊtpaːdən	ok
राजनीतिमा	ɾaːɟənɪːtɪmaː	ok
गर्नका	ɡʌrrnəkaː	ok
सात	saːt	ok
१४	cʰɔːdə	ok
आएका	aːeːkaː	ok
न	nə	ok
मन्दिरको	mʌndɪɾəkoː	ok
मात्रामा	maːtɾaːmaː	ok
योजना	joːɟənaː	ok
राई	ɾaːi	ok
लगायत	ləɡaːjət	ok
उपत्यका	ʊpʌtːjəkaː	ok
कला	kʌlaː	ok
गरेपछि	ɡəɾeːpəcʰɪ	ok
पश्चिममा	pʌʃʃcɪməmaː	ok
सांस्कृतिक	saːnskɾɪtɪkə	ok
सामेल	saːmeːl	ok
रचना	ɾʌcənaː	ok
लेखहरू	leːkʰəhəɾuː	ok
जातिको	ɟaːtɪkoː	ok
जेल	ɟeːl	ok
देशमा	deːʃəmaː	ok
भित्र	bʰɪtɾə	ok
शक्ति	ʃʌktɪ	ok
२५	pəcːɪs	ok
कार्यालय	kaːrrjaːləjə	ok
कृपया	kɾɪpəjaː	ok
राखिएको	ɾaːkʰɪʲeːkoː	ok
संविधान	sənwɪdʰaːn	ok
उपयोग	ʊpəjoːɡ	ok
चर्चित	cʌrrcɪt	ok
प्रयास	pɾəjaːs	ok
सालको	saːləkoː	ok
सुन्दर	sundəɾə	ok
त्यसै	tːjʌsɛː	ok
दक्षिणमा	dʌkʂɪɳəmaː	ok
निर्णय	nɪrrɳəjə	ok
पूर्वमा	puːrrwmaː	ok
फरक	pʰʌɾəkə	ok
युद्ध	judːdʰə	ok
लेखक	leːkʰəkə	ok
१८	aʈʰaːɾə	ok
एवम्	eːwəm	ok
खेलाडी	kʰeːlaːɖi	ok
समर्थन	səmʌrrtʰən	ok
उसले	ʊsəleː	ok
टाढा	ʈaːɖʰaː	ok
मिलेर	mɪleːɾə	ok
रहे	ɾʌheː	ok
लिन	lɪn	ok
वनस्पति	wənʌspətɪ	ok
विद्यार्थी	wɪdjaːrrtʰi	ok
सन्तान	səntaːn	ok
अवस्था	əwʌstʰaː	ok
पत्रिकाको	pətɾɪkaːkoː	ok
प्रचलित	pɾʌcəlɪt	ok
यहाँका	jəhãkaː	ok
स्थल	stʰʌl	ok
अनुमान	ənumaːn	ok
पोखरा	poːkʰəɾaː	ok
प्रयोगकर्ता	pɾəjoːɡəkʌrrtaː	ok
यात्रा	jaːtɾaː	ok
यिनको	jɪnəkoː	ok
रह्यो	ɾʌhjoː	ok
सम्पन्न	səmpʌnnə	ok
हामीले	haːmɪːleː	ok
आकार	aːkaːɾə	ok
आधार	aːdʰaːɾə	ok
कायम	kaːjəmə	ok
पानीमा	paːnɪːmaː	ok
यति	jʌtɪ	ok
यिनी	jɪni	ok
सरकारको	səɾəkaːɾəkoː	ok
स्वास्थ्य	swaːstʰjə	ok
आधारित	aːdʰaːɾɪt	ok
एकै	eːkɛː	ok
कविता	kəwɪtaː	ok
गर्नुहोला	ɡərrnuhoːlaː	ok
दिनमा	dɪnəmaː	ok
लगायतका	ləɡaːjətəkaː	ok
विशाल	wɪʃaːl	ok
हात	haːt	ok
अग्लो	ʌɡloː	ok
अनुरोध	ənuɾoːdʰ	ok
इतिहासमा	ɪtɪhaːsəmaː	ok
उनीहरूको	ʊnɪːhəɾuːkoː	ok
जीवनको	ɟɪːwənəkoː	ok
लगाउने	ləɡaːʊneː	ok
कसैले	kəsɛːleː	ok
कहिले	kʌhɪleː	ok
नामले	naːməleː	ok
भई	bʰʌi	ok
मुक्त	muktə	ok
सक्रिय	sʌkɾɪjə	ok
स्थिति	stʰɪtɪ	ok
उमेरमा	ʊmeːɾəmaː	ok
कार्यक्रम	kaːrrjəkɾəmə	ok
बजार	bəɟaːɾə	ok
बाहेक	baːheːkə	ok
मन्दिरमा	mʌndɪɾəmaː	ok
आवश्यकता	aːwʌʃjəkətaː	ok
उनीहरू	ʊnɪːhəɾuː	ok
दुवै	duwɛː	ok
पिता	pɪtaː	ok
वर्ग	wʌrrɡə	ok
१३	teːhɾə	ok
किलोमिटर	kɪloːmɪʈəɾə	ok
नियम	nɪjəmə	ok
माओवादी	maːoːwaːdi	ok
वस्तु	wʌstu	ok
विरुद्ध	wɪɾudːdʰə	ok
शेर्पा	ʃeːrrpaː	ok
आयोजना	aːjoːɟənaː	ok
ठूलो	ʈʰuːloː	ok
नामको	naːməkoː	ok
आदिवासी	aːdɪwaːsi	ok
औँ	ɔ̃	ok
कति	kʌtɪ	ok
कम्पनी	kʌmpəniː	ok
नगरपालिका	nəɡəɾəpaːlɪkaː	ok
लाग्यो	laːɡjoː	ok
विकसित	wɪkəsɪt	ok
संस्कृति	sənskɾɪtɪ	ok
सैनिक	sɛːnɪkə	ok
आमा	aːmaː	ok
खास	kʰaːs	ok
गए	ɡʌeː	ok
पर्यो	pʌrrjoː	ok
बन्न	bʌnnə	ok
मत	mʌt	ok
लिखित	lɪkʰɪt	ok
शासन	ʃaːsən	ok
समूह	səmuːhə	ok
साहित्यकार	saːhɪtːjəkaːɾə	ok
कतिपय	kʌtɪpəjə	ok
खाता	kʰaːtaː	ok
सम्बन्धी	səmbʌndʰi	ok
स्पष्ट	spʌʂʈə	ok
अझै	ʌɟʰɛː	ok
अध्यक्ष	ədʰjʌkʂə	ok
जम्मा	ɟʌmmaː	ok
नागरिक	naːɡəɾɪkə	ok
निबन्ध	nɪbʌndʰə	ok
भूभाग	bʰuːbʰaːɡ	ok
रहन	ɾʌhən	ok
वर्णन	wʌrrɳən	ok
वर्तमान	wərrtəmaːn	ok
अन्तरिक्ष	əntəɾɪkʂə	ok
आन्दोलनमा	aːndoːlənəmaː	ok
गएर	ɡəeːɾə	ok
दिएर	dɪʲeːɾə	ok
पछिल्लो	pəcʰɪllloː	ok
साहित्य	saːhɪtːjə	ok
२७	sətːaːɪs	ok
अत्यन्त	ətːjʌntə	ok
उपचार	ʊpəcaːɾə	ok
किमि	kɪmɪ	ok
छौँ	cʰɔ̃	ok
नजिकै	nʌɟɪkɛː	ok
मान्छे	maːncʰeː	ok
विश्व	wɪʃw	ok
संस्कृत	sənskɾɪt	ok
सम्मान	səmmaːn	ok
होस्	hoːs	ok
५०	pəcaːs	ok
आन्दोलन	aːndoːlən	ok
खोला	kʰoːlaː	ok
चर्चा	cʌrrcaː	ok
दुबै	dubɛː	ok
निम्न	nɪmnə	ok
भएमा	bʰəeːmaː	ok
यन्त्र	jʌntɾə	ok
सम्पर्क	səmpʌrrkə	ok
सही	sʌhi	ok
२१	eːkːkaːis	ok
२३	teːɪs	ok
आफू	aːpʰuː	ok
उपयुक्त	ʊpəjuktə	ok
परम्परागत	pəɾəmpəɾaːɡət	ok
पुरा	puɾaː	ok
बाजा	baːɟaː	ok
बौद्ध	bɔːdːdʰə	ok
यसबाट	jəsəbaːʈ	ok
राखेर	ɾaːkʰeːɾə	ok
लोकप्रिय	loːkʌpɾɪjə	ok
विषय	wɪʂəjə	ok
शरीरमा	ʃəɾɪːɾəmaː	ok
सगरमाथा	səɡəɾəmaːtʰaː	ok
आधा	aːdʰaː	ok
कम्प्युटर	kʌmpːjuʈəɾə	ok
जाति	ɟaːtɪ	ok
नम्बर	nʌmbəɾə	ok
परिचय	pʌɾɪcəjə	ok
बनाए	bənaːeː	ok
बसेको	bəseːkoː	ok
सेतो	seːtoː	ok
स्वीकार	swɪːkaːɾə	ok
आयो	aːjoː	ok
गाउँमा	ɡaːũmaː	ok
दर्शन	dʌrrʃən	ok
निर्देशक	nɪrrdeːʃəkə	ok
बेलायती	beːlaːjətiː	ok
राख्ने	ɾaːkʰneː	ok
सुरू	suɾuː	ok
अझ	ʌɟʰ	ok
अतिरिक्त	ətɪɾɪktə	ok
उत्तरमा	ʊttəɾəmaː	ok
गर्नको	ɡʌrrnəkoː	ok
तब	tʌb	ok
दिएका	dɪʲeːkaː	ok
दिनु	dɪnuʲu	ok
भाइ	bʰaːɪ	ok
शब्दको	ʃʌbdəkoː	ok
साझा	saːɟʰaː	ok
आफूले	aːpʰuːleː	ok
पार्टी	paːrrʈi	ok
बस्न	bʌsnə	ok
राष्ट्रपति	ɾaːʂʈɾəpətɪ	ok
विरोध	wɪɾoːdʰ	ok
साधारण	saːdʰaːɾəɳ	ok
आठ	aːʈʰ	ok
गोरखा	ɡoːɾəkʰaː	ok
तर्फबाट	tərrpʰəbaːʈ	ok
पर्याप्त	pərrjaːptə	ok
प्रख्यात	pɾəkʰjaːt	ok
बस्ने	bʌsneː	ok
भनिएको	bʰənɪʲeːkoː	ok
वन	banə	ok
सुरक्षित	suɾʌkʂɪt	ok
हिन्दू	hɪnduː	ok
आउँछ	aːũcʰə	ok
कोही	koːhi	ok
खाने	kʰaːneː	ok
चाहिँ	caːhĩ	ok
चुनाव	cunaːwə	ok
तल्लो	tʌllloː	ok
त्यति	tːjʌtɪ	ok
थिएँ	tʰɪʲẽ	ok
पाउने	paːʊneː	ok
पुग्यो	puɡjoː	ok
पृथ्वीनारायण	pɾɪtʰwɪːnaːɾaːjəɳ	ok
भनी	bʰʌni	ok
यिनले	jɪnəleː	ok
व्रत	ʋɾʌt	ok
शर्मा	ʃʌrrmaː	ok
सुधार	sudʰaːɾə	ok
१९	ʊːnnaːis	ok
उचित	ʊcɪt	ok
किन	kɪn	ok
विशेषता	wɪʃeːʂətaː	ok
समान	səmaːn	ok
अङ्ग्रेजीमा	əŋɡɾeːɟɪːmaː	ok
आए	aːeː	ok
उपन्यास	ʊpənjaːs	ok
उपन्यासकार	ʊpənjaːsəkaːɾə	ok
कहिल्यै	kəhɪljɛː	ok
काठमाडौँको	kaːʈʰəmaːɖɔ̃koː	ok
किसिमको	kɪsɪməkoː	ok
कृति	kɾɪtɪ	ok
गर्नुपर्छ	ɡərrnupʌrrcʰə	ok
जोडिएको	ɟoːɖɪʲeːkoː	ok
दर्ता	dʌrrtaː	ok
पर्दछन्	pʌrrdəcʰən	ok
पृथ्वी	pɾɪtʰwiː	ok
भौतिक	bʰɔːtɪkə	ok
सेना	seːnaː	ok
कतै	kʌtɛː	ok
गरिन्	ɡʌɾɪn	ok
गर्नुभयो	ɡʌrrnubʰəjoː	ok
जीवनमा	ɟɪːwənəmaː	ok
थप	tʰʌp	ok
नेपालीमा	neːpaːlɪːmaː	ok
नौ	nɔː	ok
पुराना	puɾaːnaː	ok
प्रदर्शन	pɾədʌrrʃən	ok
संरक्षण	sənɾʌkʂəɳ	ok
सकिने	sʌkɪneː	ok
सूर्य	suːrrjə	ok
